"encriptado"	"periodo"	"sat entel"	"literal"
"4144"	"zcSkfyDaEyZM"	"2018_q2"	7	"POR QUE LOS TIEMPOS DE RESPUESTAS"
"4145"	"zcSkfyDaEyZM"	"2020_q2"	6	"NADA"
"4146"	"LLPi5TYX5oUi"	"2019_q2"	5	"MEJORAR LAATENCION PRESENCIAL"
"4147"	"qebQ5XEu9va5"	"2019_q2"	7	"QUE REBAJE LOS PLANES COSTO DE PLANES"
"4148"	"DykgjTmxx1Eg"	"2020_q2"	4	"MEJORAR LA POS VENTA LOS SERVICIOS TECNICOS NO HAN ANDADO BIEN ULTIMAMENTE"
"4149"	"DykgjTmxx1Eg"	"2020_q2"	4	"MEJORAR LA POS VENTA LOS SERVICIOS TECNICOS NO HAN ANDADO BIEN ULTIMAMENTE"
"4150"	"DykgjTmxx1Eg"	"2019_q2"	7	"NADA"
"4151"	"DykgjTmxx1Eg"	"2018_q1"	7	"SC"
"4152"	"DykgjTmxx1Eg"	"2020_q1"	7	"SC"
"4153"	"impPIF9KiOmN"	"2018_q2"	6	"QUE SEAN MAS PROACTIVOS"
"4154"	"72bddz54JLlf"	"2019_q2"	5	"NO SE."
"4155"	"72bddz54JLlf"	"2019_q1"	6	"POR QUE NADIE CUMPLE100PORCIENTO"
"4156"	"72bddz54JLlf"	"2019_q2"	5	"MAS COMUNICACION."
"4157"	"K3m5emhY4aZV"	"2018_q1"	7	"S.C."
"4158"	"K3m5emhY4aZV"	"2018_q2"	7	"MEJORAR EL TEMA DE LA ATENCION DE SUS EJECUTIVOS CADA VEZ QUE LLAMO ME CONTESTA EL SETENTA POR CIENTO Y EL TREINTA NO Y ESO DEMORA MIS GESTIONES"
"4159"	"K3m5emhY4aZV"	"2018_q2"	5	"PORQUE SIEMPRE S ATENTO SINO COMO EMPRESA NO HAY SOLUCIONES LA EJECUTIVA HACE LO QUE PUEDE"
"4160"	"pe5vJbDFqb5G"	"2018_q2"	6	"-"
"4161"	"pe5vJbDFqb5G"	"2019_q2"	5	"ESTA BIEN"
"4162"	"pe5vJbDFqb5G"	"2019_q2"	5	"ESTA BIEN"
"4163"	"pe5vJbDFqb5G"	"NA_NA"	6	"SC"
"4164"	"pe5vJbDFqb5G"	"2018_q2"	6	"0"
"4165"	"pe5vJbDFqb5G"	"2018_q2"	5	"NO LO SE"
"4166"	"pe5vJbDFqb5G"	"NA_NA"	6	"SC"
"4167"	"pe5vJbDFqb5G"	"2018_q2"	5	"NO LO SE"
"4168"	"AzgbUoK3frzF"	"2019_q1"	6	"NADA"
"4169"	"AzgbUoK3frzF"	"2018_q1"	4	"SC"
"4170"	"AzgbUoK3frzF"	"2020_q2"	7	"NADA"
"4171"	"AzgbUoK3frzF"	"2020_q1"	7	"NADA"
"4172"	"AzgbUoK3frzF"	"2018_q2"	7	"NADA"
"4173"	"lP218ZBZ8oev"	"2019_q2"	6	"QUE MEJOREN LA COBERTURA EN EL SECTOR QUILVO ALTO 5900 ROMERAL"
"4174"	"lP218ZBZ8oev"	"2018_q2"	7	"NO"
"4175"	"GhXYbqMwvLT5"	"2019_q2"	4	"QUE VISITARAN A  LOS CLIENTES TENE MAYOR CONTACTO  CON EL CLIENTE QUE EL EJECUTIVO VISITE  A LOS CLIENTES CUANDO LO REQUIERA LA EMPRESA ESTA MUY LEJOS Y EL PUBLICO  A LA BUENA DE DIOS IMPERSONALES QUE TUVIERAN BUENA ATENCION QUE LOS PROBLEMAS LOS SOLUCIONEN EN FORMA RAPIDA CAMBIE DE PLAN Y TENIA QUE CAMBIAR TODOS LOS EQUIPOS NO LO HAN HECHO ESTOY PENSANDO EN CAMBIARME  DE EMPRESA"
"4176"	"GhXYbqMwvLT5"	"2019_q1"	6	"QUE FUERAN UN POQUITO MAS EFECTIVOS TENER COMUNICACION ,MAS PERSONAL CON LOS EJECUTIVOS"
"4177"	"GhXYbqMwvLT5"	"2018_q1"	5	"SC"
"4178"	"GhXYbqMwvLT5"	"2019_q2"	4	"QUE VISITARAN A  LOS CLIENTES TENE MAYOR CONTACTO  CON EL CLIENTE QUE EL EJECUTIVO VISITE  A LOS CLIENTES CUANDO LO REQUIERA LA EMPRESA ESTA MUY LEJOS Y EL PUBLICO  A LA BUENA DE DIOS IMPERSONALES QUE TUVIERAN BUENA ATENCION QUE LOS PROBLEMAS LOS SOLUCIONEN EN FORMA RAPIDA CAMBIE DE PLAN Y TENIA QUE CAMBIAR TODOS LOS EQUIPOS NO LO HAN HECHO ESTOY PENSANDO EN CAMBIARME  DE EMPRESA"
"4179"	"GhXYbqMwvLT5"	"2019_q1"	6	"SER MAS AGIL CUANDO SE REALIZA UN REQUERIMIENTO"
"4180"	"PH0zg6bEM4yE"	"2021_q1"	7	"YO DIRIA MAS FACILIDAD PARA PODER PAGAR LAS CUENTAS"
"4181"	"PH0zg6bEM4yE"	"2018_q1"	6	"SC"
"4182"	"PH0zg6bEM4yE"	"2019_q2"	6	"QUE ME ENVIEN LAS FACTURAS POR CORREO. ESO RECOMENDARIA."
"4183"	"sYiirifAS46M"	"2018_q1"	5	"COMO EMPRESA NO A PROCURADO TENER ANTENAS CON MEJOR SEÑAL..POR QUE SE LE CAE LA SEÑAL EN CALDERA ES ALGO A NIVEL COMUNAL"
"4184"	"35xa6gcxrN6J"	"2019_q1"	5	"-"
"4185"	"4G1Vz8fVHViR"	"2019_q2"	6	"DAR CELERIDAD PARA ALGUNOS CASOS, COMO LOS MOVILES DE LA CORPORACION ESTAN DESACTUALIZADOS, LA ULTIMA VEZ QUE VINO EL EJECUTIVO TUVIMOS UNA REUNION PARA VER FORMA DE CAMBIARLOS Y HASTA EL MOMENTO NO HEMOS AVANZADO"
"4186"	"4G1Vz8fVHViR"	"2020_q2"	6	"YO CREO QUE LOS TIEMPOS DE RESPUESTAS TAL VEZ"
"4187"	"ttwzDGO4viw1"	"2018_q1"	6	"SE ESPERA QUE LAS TARIFAS FUERAN RECIBADAS PARA OFRECER MEJOR SERVICIO EN TEMAS ECONOMICOS"
"4188"	"n7HdiHozCTBT"	"2020_q1"	4	"MEJORAR LA CONEXION EN GENERAL, LA SEÑAL ES MALA."
"4189"	"n7HdiHozCTBT"	"2019_q2"	6	"MAYOR COMUNICACION"
"4190"	"n7HdiHozCTBT"	"2020_q2"	6	"MEJORARAN EL TEMA DE LA CONECTIVIDAD DADO QUE COMO YO SOY EL ADMINISTRADOR MUCHA GENTE ME RECLAMA A MI COMO SI YO FUERA QUIEN DA EL SERVICIO, CONECCION MUY MAL SE CORTA SE INTERRUMPE, ESTAMOS PENSANDO EN CAMBIAR DE EMPRESA"
"4191"	"dcci69DWQzpW"	"2019_q2"	5	"LA ULTIMA VEZ FUI A LA OFICINA DE SNA BERNARDO  NO APARECIA YO COMO ADMINISTRADORA Y ME DEJARON ESPERANDO UN BUEN RATO, EN TODAS LAS OFICINAS APAREZCO PERO MENOS EN SAN BERNADO. POR LO CUAL NO PUEDE REALIZAR EL TRAMITE. TODAS LAS OFICINAS DEBERIAN TENER LOS DATOS ACTUALIZADOS"
"4192"	"zr2LkbOs8cKo"	"2019_q1"	6	"MEJORAR LA PLATAFORMA WEB DE ADMINISTRACION DE CONTRATO"
"4193"	"ZgRecETzhWTn"	"2020_q2"	5	"HAY POCA DESIPONIBILIDAD EN DAR SOLUCIONES EN LA LINEA 106 Y EJECUTIVO SIEMPRE DERIVAN Y NO ICEN LA SOLUCION ESTA"
"4194"	"ZgRecETzhWTn"	"2020_q2"	6	"MEJOR COMUNICACION MAS RAPIDO"
"4195"	"ZgRecETzhWTn"	"2020_q1"	7	"NO HA TENIDO PROBLEMA CON ENTEL TIENE BUEN SERVICIO"
"4196"	"ZgRecETzhWTn"	"2019_q1"	1	"NADIE,  DA SOLUCIONES SER  MAS RESOLUTIVO Y EXPLICAR AL CLIENTE QUE SE DEBE HACEREN  RESOLVER PROBLEMAS, EN  CAIDAS DE INTERNET Y  TELEFONO"
"4197"	"DMb0mdKwYsYL"	"2019_q1"	5	"tener MAS ACERCAMIENTO POR PARTE DEL EJECUTIVO"
"4198"	"1SWMpylKhObY"	"2020_q2"	5	"MAYOR EFICIENCIA MENOS TIEMPO DE ESPERA"
"4199"	"1SWMpylKhObY"	"2018_q1"	4	"SC"
"4200"	"1SWMpylKhObY"	"2018_q1"	4	"SC"
"4201"	"1SWMpylKhObY"	"2020_q2"	5	"MAYOR EFICIENCIA MENOS TIEMPO DE ESPERA"
"4202"	"X8H1bmpLrIo3"	"2018_q1"	7	"S/C"
"4203"	"hWS9BVJ5moKl"	"2018_q1"	7	"NC"
"4204"	"hWS9BVJ5moKl"	"2020_q1"	7	"POR AHORA NADA TODO BIEN EN SOLICITUDES REQUERIMIENTOS FACTURAS REPORTE DE INCIDENTES NUEVOS SERVICIOS"
"4205"	"hWS9BVJ5moKl"	"2019_q1"	7	"NO"
"4206"	"hWS9BVJ5moKl"	"2018_q2"	7	"NADA PORQUE MUY BIENA ATENCION DE ENTEL Y DE EJECUTIVOS"
"4207"	"hWS9BVJ5moKl"	"2020_q1"	7	"POR AHORA NADA TODO BIEN EN SOLICITUDES REQUERIMIENTOS FACTURAS REPORTE DE INCIDENTES NUEVOS SERVICIOS"
"4208"	"gqP3Oc8yS3vX"	"2021_q1"	1	"QUE NOS RESPONDAN NUESTRAS SOLICITUDES  ESTAMOS TRATANDO QUE LA SEÑORITA MARIA IGANCIA BARAHONA NOS RESPINDA A< NUESTARAS SOLICITUDES PORQUE NECESITAMOS ENCARECIADAMENTE QUE NOS RESPONDA"
"4209"	"gqP3Oc8yS3vX"	"2018_q1"	7	"nada"
"4210"	"gqP3Oc8yS3vX"	"2021_q1"	1	"QUE NOS RESPONDAN NUESTRAS SOLICITUDES  ESTAMOS TRATANDO QUE LA SEÑORITA MARIA IGANCIA BARAHONA NOS RESPINDA A< NUESTARAS SOLICITUDES PORQUE NECESITAMOS ENCARECIADAMENTE QUE NOS RESPONDA"
"4211"	"gqP3Oc8yS3vX"	"2019_q1"	7	"TENEMOS UN PROBLEMA DE DESFASE CON LA FACTURACION."
"4212"	"gqP3Oc8yS3vX"	"2020_q1"	5	"QUE ESTEN MAS ACORDES CON LOS NUEVOS ESTANDARES DE SERVICIO HAY  NUEVOS ESTADARES CON MEJORA AUTOMATICA HAY OTRAS COMPAÑIAS QUE ME ENTREGA  EN LO PERSONAL Y CUANDO HAY MEJORAS ME SUBE AUTOMATICAMENTE LOS MINIMOS"
"4213"	"gqP3Oc8yS3vX"	"2020_q2"	3	"QUE EL SERVICIO SEA MEJOR QUE INTERNET NO SE CAIGA"
"4214"	"o5ljd9NSs0Qc"	"2019_q1"	7	"OFRECIERA MAS OFERTAS DE MOVILES QUE USAMOS ACA---CAMBIOS"
"4215"	"kDTvpVDd64dr"	"2020_q2"	7	"NADA"
"4216"	"kDTvpVDd64dr"	"2019_q1"	7	"NADA"
"4217"	"kDTvpVDd64dr"	"2020_q1"	7	"ESTA BIEN NO TENGO RECOMENDACIONES"
"4218"	"kDTvpVDd64dr"	"2019_q2"	7	"NADA"
"4219"	"kDTvpVDd64dr"	"2020_q2"	6	"LA ATENCION BIEN"
"4220"	"kDTvpVDd64dr"	"2018_q1"	7	"SC"
"4221"	"vupN2JHWJKBw"	"2019_q1"	3	"QUE NOS DEN SOLUCION A NUESTRO REQURIMIENTO QUE HICIMOS HACE MAS OMENOS CUATRO MESES."
"4222"	"FnnMDWDki96g"	"2020_q2"	7	"CONSULTAR EL ESTADO, HACER UN TELEMARKETING. NO ESPERAR QUE EL CLIENTE A CONSULTAR COSAS. SOBRE TODO ESTE AÑO"
"4223"	"PY4L8pjMa7nS"	"2020_q2"	6	"TAL VES QUE LOS EQUIPOS QUE PUEDAN DAR SEAN DE ALTA GAMA Y A COSTO CERO"
"4224"	"0pJOW2OWgc24"	"2018_q1"	7	"S C"
"4225"	"0pJOW2OWgc24"	"2019_q1"	7	"POR QUE HASTA EL MOMENTO LOS REQUERIMIENTOS QUE HE SOLICITADO HAN SIDO RESPONDIDO DE MANERA RAPIDA Y SATISFACTORIA"
"4226"	"SPbZT8zzbrEx"	"2020_q2"	6	"MAYOR AGILIDAD EN LAS AGENCIAS PORQUE CUANDO  VA A PAGAR SIEMPRE HAY FILA Y TIENEN TRES CAJAS Y SIEMPRE HAY UNA SOLA PERSONA ATENDIENDO"
"4227"	"SPbZT8zzbrEx"	"2020_q1"	6	"QUE NO TRAMITEN TANTO A LOS REQUERIMIENTOS SIEMPRE HAY INCONVENIENTES PARA SOLUCIONAR LOS PROBLEMAS Y QUE NO CAMBIEN TAN CONSTANTEMENTE LOS EJECUTIVOS"
"4228"	"SPbZT8zzbrEx"	"2018_q1"	5	"EN LA PRACTICA ENTEL NO SOLUCIONA LOS PROBLEMAS, EL ADMINISTRADOR NO PUEDE SOLUCIONAR NINGUN PROBLEMA YA QUE CUANDO UNO VA LE PIDEN EL REPRESENTANTE LEGAL"
"4229"	"TzfhdAoZbQEg"	"2018_q2"	6	"NADA ."
"4230"	"TzfhdAoZbQEg"	"2020_q1"	6	"LA PAGINA EL ACCESO REMOTO QUE SEA MAS ACCESIBLE A VECES ES COMPLICADO PARA BUSCAR INFORMACION"
"4231"	"TzfhdAoZbQEg"	"2018_q1"	5	"S.C."
"4232"	"TzfhdAoZbQEg"	"2018_q2"	5	"POR QUE LE A AYUDADO PERO LE FALTA ALGUNAS COSAS"
"4233"	"TzfhdAoZbQEg"	"2020_q2"	6	"NADA"
"4234"	"TzfhdAoZbQEg"	"2019_q1"	5	"SC"
"4235"	"TzfhdAoZbQEg"	"2018_q1"	5	"S.C."
"4236"	"wC4Lo2TNIMyw"	"2019_q1"	7	"LLAMAR MAS SEGUIDO A LAS PERSONAS PERO ESTA BIEN  TODO"
"4237"	"wC4Lo2TNIMyw"	"2019_q1"	6	"-"
"4238"	"wC4Lo2TNIMyw"	"2018_q1"	6	"SC"
"4239"	"F6OpRubPtNe8"	"2020_q1"	7	"MAS EJECUTIVOS COMO ELLOS"
"4240"	"F6OpRubPtNe8"	"2019_q1"	7	"NADA"
"4241"	"F6OpRubPtNe8"	"2019_q2"	7	"nada"
"4242"	"F6OpRubPtNe8"	"2018_q2"	7	"LA PLATAFORMA QUE TIENEN WEB UNO LEVANTA REQUERIMIENTOS PERO AVECES NO TIENE UNA REALIMENTACION DE COMO ESTA EL PROCESO"
"4243"	"F6OpRubPtNe8"	"2018_q1"	7	"SC"
"4244"	"rRBRobxGFz8I"	"2018_q2"	6	"QUE SE PREOCUPEN MAS DE LOS CLIENTES ANTIGUOS ,YA QUE POR DESCONTENTOS HACEN QUE BUSQUEN OTRAS EMPRESAS"
"4245"	"rRBRobxGFz8I"	"2018_q1"	5	"SIENDO UNA COMPAÑIA TAN GRANDE Y QUE  DESPREOCUPE A SUS CLIENTE, SOMOS EMPRESA GRANDE PAGAMOS BASTANTE DINERO Y NOS TIENEN ABONDONADAO ES MEJOR LA ATENCION EN SUCURSAL QUE DE EJECUTIVOS"
"4246"	"rRBRobxGFz8I"	"2019_q1"	5	"QUE LOS EJECUTIVOS DE EMPRESA SI REALMENTE SON EJECUTIVOS PARA EMPRESAS QUE SE PREOCUPEN DE LAS EMPRESAS Y CUANDO UNO LOS CONTACTE QUE REALMENTE ENTREGUEN UNA RESPUESTA CUANDO UNO LO REQUIERE Y NO TENGA QUE ESPERAS MAS DE DOS PARA GESTIONAR UNA RESPUESTA"
"4247"	"rRBRobxGFz8I"	"2019_q2"	7	"ENVIAR MAS OFERTAS"
"4248"	"rRBRobxGFz8I"	"2020_q1"	7	"HA FUNCIONADO BIEN HASTA EL MOMENTO."
"4249"	"rRBRobxGFz8I"	"2021_q1"	7	"QUE ME CAMBIEN  EL EJECUTIVO"
"4250"	"TT0BsKf6FrLA"	"2018_q1"	4	"LO QUE PASA QUE QUE A NOSOTROS NOS HICEIRON EL CAMBIO PERO ELLA ME OFRECIO QUE BAJARIAN LOS COSTOS Y TODO LO CONTRARIO SUBIERON LOS COSTOS Y HEMOS TRATADO DE SOLUCIONAR EL PROBLEMA Y NO HEMOS TENIDO RESPUESTAS"
"4251"	"UKNhwtvVQy8U"	"2021_q1"	6	"QUE AJUSTEN LOS VALORES DE FORMA AUTOMATICA OFRECIENDO O ACTUALIZAR LOS PLANES CONSTANTEMENTE PARA NO IR QUEDANDO OBSOLETOS QUE SEAN ELLOS LOS QUE LLAMEN E INFORMEN AL CLIENTE Y NO ESPERAR QUE EL CLIENTE LOS LLAME"
"4252"	"5Q6tEdS2HmY1"	"2020_q2"	7	"SIEMPRE CONSIDERAR EL GIRO DE LA INSTITUCION POR QUE ALGUNOS SERVICOS EN EL CASO DE ESTA EMPRESA ERAN GRATUITOS"
"4253"	"5Q6tEdS2HmY1"	"2019_q2"	6	"MEJORAR LA COMUNICACION CON LOS CLIENTES."
"4254"	"5Q6tEdS2HmY1"	"2019_q2"	7	"CUANDO SE HACE UN REQUERIMIENTOS POR PROYECTO DEBIERAN SER MAS RAPIDOS PARA ENTREGAR LAS PROPUESTAS"
"4255"	"5Q6tEdS2HmY1"	"2019_q1"	7	"SC"
"4256"	"5Q6tEdS2HmY1"	"2019_q2"	7	"CUANDO SE HACE UN REQUERIMIENTOS POR PROYECTO DEBIERAN SER MAS RAPIDOS PARA ENTREGAR LAS PROPUESTAS"
"4257"	"5Q6tEdS2HmY1"	"2018_q1"	7	"SC"
"4258"	"5Q6tEdS2HmY1"	"2019_q1"	7	"SC"
"4259"	"5Q6tEdS2HmY1"	"2018_q1"	5	"SC"
"4260"	"5Q6tEdS2HmY1"	"2020_q2"	7	"SIEMPRE CONSIDERAR EL GIRO DE LA INSTITUCION POR QUE ALGUNOS SERVICOS EN EL CASO DE ESTA EMPRESA ERAN GRATUITOS"
"4261"	"5Q6tEdS2HmY1"	"2018_q1"	7	"SC"
"4262"	"vQOBQQx5DCLS"	"2020_q2"	5	"MAS RAPIDEZ, ESO NO MAS"
"4263"	"vQOBQQx5DCLS"	"2019_q2"	3	"NADA OJALA QUE ME CONTACTES QUE ESTOY ESPERANDO PROPUESTAS COMERCIALES POR SERVCIOS AUN VIGENTE"
"4264"	"vQOBQQx5DCLS"	"2018_q2"	3	"MEJORAR LA CALIDAD DE LOS SERVICIOS DE INTERNT Y LA ATENCION   AL PÙBLICO EN GENERAL"
"4265"	"vQOBQQx5DCLS"	"2019_q1"	2	"ESTAR MAS PRESENTE CON SUS CLIENTES Y NO CAMBIAR TAN SEGUIDOS LOS EJECUTIVOS , FALTA DE COMPROMISOS DE LOS EJECUTIVOS Y NO DILATAR LAS GESTIONES SOLICITADAS"
"4266"	"vQOBQQx5DCLS"	"2020_q1"	2	"MAS CERCANIA CON SUS CLIENTES- MEJORAR TIEMPOS DE RESPUESTAS Y OJALA EN CASTRO PONGAN ATENCION Y NO TENER QUE IR A PTO MONTT--- Y MEJOR CALIDAD DE SERVCIO EN MEGAS- MEJORAR Y BAJAR EN COSTO PR ESO VAMOS DE SAQLIDA"
"4267"	"vQOBQQx5DCLS"	"2019_q2"	3	"NADA OJALA QUE ME CONTACTES QUE ESTOY ESPERANDO PROPUESTAS COMERCIALES POR SERVCIOS AUN VIGENTE"
"4268"	"vQOBQQx5DCLS"	"2020_q1"	2	"MAS CERCANIA CON SUS CLIENTES- MEJORAR TIEMPOS DE RESPUESTAS Y OJALA EN CASTRO PONGAN ATENCION Y NO TENER QUE IR A PTO MONTT--- Y MEJOR CALIDAD DE SERVCIO EN MEGAS- MEJORAR Y BAJAR EN COSTO PR ESO VAMOS DE SAQLIDA"
"4269"	"vQOBQQx5DCLS"	"2020_q2"	5	"MAS RAPIDEZ, ESO NO MAS"
"4270"	"nbge0RFIiefN"	"2020_q1"	6	"QUE LOS EJECUTIVOS SE COMUNICARAN CON NOSOTROS"
"4271"	"n4yB3NqOeMR0"	"2020_q1"	6	"SC"
"4272"	"n4yB3NqOeMR0"	"2020_q2"	6	"HASTA EL MOMENTO BIEN, NO HAY PROBLEMA."
"4273"	"n4yB3NqOeMR0"	"2019_q2"	5	"NECESITAMOS ALGO DIRECTO MAS PRESENCIAL ACA, ES COMPLICADO HACER TODO POR TELEFONO"
"4274"	"cui38yu7p5E1"	"2019_q1"	7	"SC"
"4275"	"cui38yu7p5E1"	"2018_q2"	6	"PORQUE NOS ATIENDE BIEN EN GENERAL, PROCESA LOS REQUERIMIENTOS"
"4276"	"cui38yu7p5E1"	"2020_q1"	7	"NADA"
"4277"	"cui38yu7p5E1"	"2018_q2"	5	"MANTENERNOS INFORMADOS SOBRE LA ACTUALIZACION DE PLANES BENEFICIOS QUE PODRIA OPTAR LA EMPRESA"
"4278"	"cui38yu7p5E1"	"2018_q1"	5	"SC"
"4279"	"cui38yu7p5E1"	"2019_q1"	6	"ANTE MODIFICACIONES DE PERSONAS INFORMEN NUEVAMENTE LA ESTRUCTURA DE ATENCION"
"4280"	"FfuZUOfkeXL5"	"2018_q2"	5	"QUE TENGAMOS UN EJECUTIVO EN DIRECTO PAR ALOS QUE ESTAMOS EN REGIONES Y UNO Y NO MCAMBIEN MAS"
"4281"	"FfuZUOfkeXL5"	"2020_q1"	6	"QUE DEJEN UN EJECUTIVO PERMANENTE PARA TODO REQUERIMIENTO"
"4282"	"FfuZUOfkeXL5"	"2020_q2"	7	"que los viernes en la tgarde haya un turno especial par atencion al cliente"
"4283"	"FfuZUOfkeXL5"	"2020_q1"	6	"QUE DEJEN UN EJECUTIVO PERMANENTE PARA TODO REQUERIMIENTO"
"4284"	"FfuZUOfkeXL5"	"2020_q2"	7	"NADA"
"4285"	"FfuZUOfkeXL5"	"2020_q2"	7	"NADA"
"4286"	"LcRSI1dD1rEf"	"2020_q2"	7	"SC"
"4287"	"LcRSI1dD1rEf"	"2018_q2"	7	"LA VERDAD NO SE POR EJEMPLO TENEMOS UN SERVICIO BIEN PEQUENO A VECES HAY INFORMACION MUY GENERAL PARA LAS EMPRESAS NOS OFRECEN  GPS Y NO TENEMOS  VEHICULOS  ESE TIPO DE INFORMACION NO ESTA DEMAS QUE NOS CONSIDEREN"
"4288"	"LcRSI1dD1rEf"	"2018_q1"	7	"S/C"
"4289"	"LcRSI1dD1rEf"	"2019_q1"	7	"LA VERDADA ES QUE NADA."
"4290"	"LcRSI1dD1rEf"	"2018_q1"	7	"S/C"
"4291"	"LcRSI1dD1rEf"	"2018_q2"	7	"LA VERDAD NO SE POR EJEMPLO TENEMOS UN SERVICIO BIEN PEQUENO A VECES HAY INFORMACION MUY GENERAL PARA LAS EMPRESAS NOS OFRECEN  GPS Y NO TENEMOS  VEHICULOS  ESE TIPO DE INFORMACION NO ESTA DEMAS QUE NOS CONSIDEREN"
"4292"	"LcRSI1dD1rEf"	"2020_q2"	7	"SC"
"4293"	"LcRSI1dD1rEf"	"2019_q1"	7	"LA VERDADA ES QUE NADA."
"4294"	"qpUX7u0nZxDk"	"2020_q2"	5	"NO SABE QUE DECIR POR QUE LA ATENCION ES BUENA"
"4295"	"qpUX7u0nZxDk"	"2020_q2"	5	"NO SABE QUE DECIR POR QUE LA ATENCION ES BUENA"
"4296"	"qpUX7u0nZxDk"	"2019_q2"	7	"MEJORAR LA COBERTURA Y MEJOR CAPACIDAD"
"4297"	"qpUX7u0nZxDk"	"2019_q2"	7	"MEJORAR LA COBERTURA Y MEJOR CAPACIDAD"
"4298"	"EGwUAQmshDJV"	"2018_q1"	3	"NC"
"4299"	"EGwUAQmshDJV"	"2020_q2"	6	"QUE LOS TIEMPOS DE RESPUESTAS SEAN MAS RAPIDO"
"4300"	"EGwUAQmshDJV"	"2018_q1"	4	"SC"
"4301"	"EGwUAQmshDJV"	"2020_q2"	7	"NADA"
"4302"	"EGwUAQmshDJV"	"2018_q2"	5	"TENER ALGUNOS BENEFICIOS COMO PRECIOS PREFERENCIALES PARA CAMBIOS DE EQUIPOS POR SER CLIENTE ENPRESA ANTIGUO Y TENER VARIAS LINEAS TELEFONICAS"
"4303"	"EGwUAQmshDJV"	"2018_q2"	5	"TENER ALGUNOS BENEFICIOS COMO PRECIOS PREFERENCIALES PARA CAMBIOS DE EQUIPOS POR SER CLIENTE ENPRESA ANTIGUO Y TENER VARIAS LINEAS TELEFONICAS"
"4304"	"EGwUAQmshDJV"	"2018_q1"	4	"SC"
"4305"	"EGwUAQmshDJV"	"2018_q1"	3	"NC"
"4306"	"sgn1s79Xpxqj"	"2019_q2"	5	"no"
"4307"	"sgn1s79Xpxqj"	"2020_q2"	5	"LA DISPONIBILIDAD DEL SERVCIO DE SIERTOS LUGARES ME HA APSADO QUE PIDO FACTIVILIDAD A LO LARGO DE CHILE Y ME DICEN QUE NO HAY ESO DEVERIA MEJORAR"
"4308"	"sgn1s79Xpxqj"	"2019_q1"	6	"NADA QUE DECIR"
"4309"	"sgn1s79Xpxqj"	"2019_q1"	6	"NADA QUE DECIR"
"4310"	"sgn1s79Xpxqj"	"2020_q1"	5	"cambio de ejecutivo ,no tiene preocupacion , no responde correo"
"4311"	"sgn1s79Xpxqj"	"2018_q1"	7	"SC"
"4312"	"sgn1s79Xpxqj"	"2019_q2"	5	"no"
"4313"	"sgn1s79Xpxqj"	"2018_q2"	6	"DE MOMENTO NO SABRIA QUE SUGERENCIA A FURTURO ALGO SATISFECHO CON EL SERVSIO"
"4314"	"WSpEfZUXBFQr"	"2018_q1"	7	"S/C"
"4315"	"PIhZLXsf5lPI"	"2019_q2"	7	"NADA, ESTOY CONFORME."
"4316"	"PIhZLXsf5lPI"	"2018_q1"	7	"SC"
"4317"	"PIhZLXsf5lPI"	"2019_q1"	6	"NADA  POR EL MOMENTO , TODO BIEN"
"4318"	"VJ6XQeO4GL38"	"2019_q1"	6	"MAYOR AGILIDAD EN SERVICIO TECNICO"
"4319"	"VJ6XQeO4GL38"	"2018_q1"	5	"SC"
"4320"	"VJ6XQeO4GL38"	"2018_q1"	6	"SC"
"4321"	"qoZBrABrPo7D"	"2020_q1"	7	"NADA."
"4322"	"qoZBrABrPo7D"	"2018_q2"	7	"mejorar la pagina que al ingresar el rut de empresa en un lugar ligar libre para no buscar en sus registros de el ejecutivo que lo atienden que salte el el nombre telefono 7y mail del ejecutivo que nos corresponde"
"4323"	"3QSjVRIn87dz"	"2020_q2"	6	"AUMENTAR TIEMNPOS DE RESPUESTAS"
"4324"	"3QSjVRIn87dz"	"2021_q1"	6	"PLATAFORMA MAS AMIGABLE PARA EMLAS EMPRESAS"
"4325"	"3QSjVRIn87dz"	"2021_q1"	6	"PLATAFORMA MAS AMIGABLE PARA EMLAS EMPRESAS"
"4326"	"3QSjVRIn87dz"	"2018_q1"	7	"SC"
"4327"	"WQO44nC7Ep5X"	"2018_q1"	5	"ESTOY SOLICITANDO QUE ME VENGAN A REVISAR LA SEÑAL EN LA PLANTA DONDE TENEMOS CASI TODOS LOS EQUIPOS, ESTO ME URGE QUE SE HAGA YA QUE TIENE QUE VER CON LA CALIDAD DEL SERVICIO"
"4328"	"6zitVnhYQCcK"	"2019_q1"	4	".RESPONDER LOS CORREOS Y SOLUCIONARA LOS PROBLEMAS EN 6 MESES"
"4329"	"6zitVnhYQCcK"	"2019_q2"	3	"NADA."
"4330"	"6zitVnhYQCcK"	"2019_q2"	3	"NADA."
"4331"	"6zitVnhYQCcK"	"2019_q1"	4	".RESPONDER LOS CORREOS Y SOLUCIONARA LOS PROBLEMAS EN 6 MESES"
"4332"	"6zitVnhYQCcK"	"2018_q2"	5	"QUE LOS EJECUTIVOS ESTEN MAS INFORMADOS"
"4333"	"6zitVnhYQCcK"	"2018_q2"	5	"QUE LOS EJECUTIVOS ESTEN MAS INFORMADOS"
"4334"	"yU1C9VK87FXK"	"2019_q1"	5	"LLAMAR CON MAS PRIORIDAD  A LOS CLIENTES MAS SEGUIDO"
