"encriptado"	"periodo"	"sat entel"	"literal"
"46"	"PSfL8J0N01Dl"	"2018_q2"	5	"UNIFICAR TERMINOS SE DAN MUCHAS VUELTAS PARA RESPONDER O CONCRETAR LAS COSAS"
"47"	"PSfL8J0N01Dl"	"2018_q1"	4	"COMO COMENTARIO O REQUISITO MEJORAR URGENTEMENTE LA CALIDAD DE LAS REDES DE LA SEÑAL LAS QUE HAN FALLADO DEMASIADO EN EL ULTIMO TIEMPO"
"48"	"v6Mjbnhj8QWn"	"2020_q1"	7	"PODER PAGAR DE MANERA ON LINE PERO LA FACTURA DEL MES"
"49"	"v6Mjbnhj8QWn"	"2019_q2"	6	"QUE LAS BOLETAS LLEGARAN A MI CORREO ELECTRONICO"
"50"	"wcPHdrQph7Sn"	"2019_q2"	5	"MEJORAR LA ATENCION.TUVE QUE HACER UN CAMBIO DE RUT EMPRESA Y FUE MUY ENGORROSO CONCRETAR LO QUE REQUERIA .ENTEL ES PURA PROPAGANDA ."
"51"	"wcPHdrQph7Sn"	"2021_q1"	5	"QUE EL EJECUTIVO SE DE A CONOCER Y DE SU NOMBRE YA QUE LOS PASAN CAMBIANDO"
"52"	"CqJPIElmVl9f"	"2019_q1"	6	"0"
"53"	"qYOWYNUsGHKz"	"2021_q1"	4	"QUE EVALUARAN MEJOR A LAS PERSONAS QUE TRABAJAN CON ELLOS"
"54"	"fHIYIBQfXmLX"	"2018_q1"	4	"EL SERVICIO EL MALO"
"55"	"OjUAblRtrJP8"	"2018_q1"	4	"SC"
"56"	"2AUvl7fnmKQm"	"2018_q2"	7	"S/C"
"57"	"mDuGpH2Ofez2"	"2019_q2"	5	"OFRESCAN MEJORES PROMOCIONES Y BENEFICIOS"
"58"	"p6iVbsyEuVYO"	"2020_q1"	6	"EL TEMA DE LOS TELEFONOS FUNCIONA BIEN, QUE ABILITEN LAS CAJAS EN TODAS PARTES"
"59"	"WKJXctBc85GQ"	"2018_q2"	6	"0"
"60"	"iJtNQqjWLiCp"	"2019_q2"	7	"NADA ESTA BIEN"
"61"	"iJtNQqjWLiCp"	"2020_q1"	5	"MAYOR RAPIDES EN EL PROCESO  DE CAMBIO DE LINEAS  UN TRASPASO"
"62"	"feBD7AKAC2EG"	"2018_q2"	6	"QUE A LOS CLIENTES MAS ANTIGUOPS LES VAYA MEJORANDOLOS PRECIOS QUE LA COMPETENCIA"
"63"	"KRFmeI1dyuSo"	"2018_q2"	2	"HACE MAS DE UNA SEMANA QUE ESTA SIN SERVICIO DE INTERNET EN SU PLAN DE EMPRESA"
"64"	"T44fj4hBwiMf"	"2019_q1"	7	"LA ROTACION DE LOS AGENTES ES VARIADA Y LE PEDIMOS ALGO A UNO, Y DSPUES CAMBIAN EL EJECUTIVO Y EL NUEVO NO SABE LO QUE SE LE HABIA PEDIDO AL ANTERIOR."
"65"	"T44fj4hBwiMf"	"2020_q2"	6	"NO TENGO COMENTARIO"
"66"	"T44fj4hBwiMf"	"2020_q2"	7	"NO HEMOS TENIDO NINGUN PROLEMA NO HEMOS TENIDO REQUERIMIENTOS NI CONSULTAS"
"67"	"3YFkX59VhIlM"	"2018_q2"	7	"NADA"
"68"	"3YFkX59VhIlM"	"2019_q1"	7	"NADA"
"69"	"zbqmP9oaAg08"	"2019_q2"	6	"QUE ATIENDA A MI EJECUTIVO"
"70"	"zbqmP9oaAg08"	"2019_q1"	1	"QUE SEAN MAS PROACTIVOS, YO NO ME HE CAMBIADO DE CIA SOLO POR TIEMPO, YA QUE CUANDO LE COMENTE A LA EJECUTIVA QUE ME QUERIA CAMBIAR ELLA ME RESPONDIO QUE IGUAL NO ME IBAN A SOLUCIONAR NADA"
"71"	"DlgxwUpRa1Ja"	"2021_q1"	7	"HE PEDIDO ALGUNAS COSAS QUE SE HAN DEMORADO EN RESPONDERLAS, EN ELIMINACION DE LINEAS Y SE DEMORARON DOS MESES EN RESPONDER"
"72"	"E2D7Yalwuszt"	"2018_q1"	7	"EL 4 ES POR LA LINEA 106 QUE ES MUY ENGORROSO EL PROCESO PARA LLEGAR  SER ATENDIDO"
"73"	"bVfuMX9WnuhT"	"2018_q1"	5	"QUE MEJOREN LA SEÑAL EN ILLAPEL, NO TENEMOS 4 G EN CAMBIO LAS OTRAS CIAS SI LO TIENEN"
"74"	"iuOIEZkWQJzX"	"2020_q2"	7	"NADA"
"75"	"oDAfgRghlF3c"	"2018_q2"	6	"S/C"
"76"	"IHpEVRWGjYZc"	"2018_q2"	7	"NO RECOMIENDA NADA"
"77"	"IHpEVRWGjYZc"	"2018_q2"	7	"NO RECOMIENDA NADA"
"78"	"nrMPbAIhBF0A"	"2019_q2"	5	"QUE BAJE LAS TARIFAS"
"79"	"dKMw4z0pGrs8"	"2018_q1"	6	"SC"
"80"	"nblF0EUYHZdh"	"2018_q2"	7	"DAR LA ALTERNATIVA A REQUERIMIENTOS QUE SI NO PUEDEN DAR ALGO QUE OFREZCAN OTRO PRODUCTO O SOLUCION ALTERNATIVA"
"81"	"MQmeRq36eQQW"	"2018_q2"	6	"0"
"82"	"tuLeJ4ziWHGs"	"2018_q1"	6	"NECESITO QUE ENTEL LE DE MAS IMPORTANCIA A SUS CLIENTES .PORQUE NO TENGO ATENCION DE EJECUTIVA ."
"83"	"tuLeJ4ziWHGs"	"2019_q2"	6	"QUE EL EJECUTIVO ESTE MAS VISIBLE."
"84"	"tuLeJ4ziWHGs"	"2019_q2"	6	"QUE SE COMUNIQUEN MAS CON UNO"
"85"	"tuLeJ4ziWHGs"	"2020_q1"	6	"UNA COMUNICACION MAYOR CON EL   CLIENTE"
"86"	"aoEPcQQneLNL"	"2020_q1"	6	"POR EL MOMENTO NADA"
"87"	"JyGaeC4G23dQ"	"2020_q2"	7	"MAYOR COMUNICACION DE LOS EJECUTIVOS"
"88"	"iiBBi4Cnrnax"	"2020_q2"	1	"RECLAMO DE LAS PERSONAS QUE ESTAN ENCARGADAS TUBE UNA SUSPENCION POR 3 MESES Y ME COBRARON AGOSTO Y SEPTIEMBRE RECLAME Y ME ESTAN COBRANDO HICE COMO 2 RECLAMOS Y NO HICIERON NADA YO TENIA DEUDA DE ANTES PERO ME DIJIERON QUE TENIA QUE PAGAR"
"89"	"xCzjKbwESj40"	"2018_q1"	2	"SOY CLIENTE ENTEL HACEN MUCCHOS AÑOS Y EN LOS ULTIMOS CINCO AÑOS HE TENIDO MUCHOS PROBLEMAS EN CUANTO A COBROS ,LINEA TELEFONICA Y COBERTURA."
