encriptado	FECHA_NEGOCIO	SISTEMA	TIPONEGOCIO	GRUPO_NEGOCIO	GRUPO_AFINIDAD	EMPRESA_EJECUTIVO	MODELO_EJECUTIVO	DESC_TIPOCLIENTE	DESC_GRUPOCLIENTE	CODI_PLAN	DESC_PLAN	TIPO_PLAN	TIPO_PLAN_MM	CODI_SUCURSAL	NOMB_SUCURSAL	TIPO_SUCURSAL	ZONA	CIUDAD	CONVERGENCIA	Cargo_Fijo	GRUPO3	GRUPO4	DESCRIPCION_CARGO_SIMPLE	MOVIMIENTO	DIA	MES	ANO	DIA_VENTA	MES_VENTA	ANO_VENTA	CANAL_REASIGNADO	FUNCION_EJECUTIVO	COMPANIA_ORIGEN_PORT_IN	CARGO_FIJO2	ID_DIA
5E0yWHqk8f05	12/11/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Entel Call Center	Atención	PERS GIRO COM PYME C	MICRO Y SOHO	EPD90	2251 Internet Movil E. Extra	OTROS	FU	1543	ASISTENTE VIRTUAL	CALL CENTER	Santiago	Santiago	UPSELLING	21764.7059	BAM	BAM	Fusion Movil	Anulaciones	23	noviembre	2020	12	NOVIEMBRE	2020	Fusion Movil	Ejecutivo	NA	15042.0168	23/11/2020
5FuJxWiRQk4X	20/05/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Los Alerces Stgo	Captura	SOC.DE PROF PYME C	MICRO Y SOHO	EPD91	2252 Bam Emp. Extra	OTROS	FU	3782	AGENTES CAPTURA DELIVERY	AGENTES CAPTURA DELIVERY	Santiago	Santiago	UPSELLING	30168.06723	BAM	BAM	Agentes Captura	Anulaciones	26	MAYO	2020	20	MAYO	2020	Agentes Captura	Supervisor	NA	21764.7059	26/05/2020
jqDD5JcTklD0	18/08/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Web Digital	Captura	AGIL PERS C/GIRO	MICRO Y SOHO	EPD56	2203 Emp. Extra SIM	SIM Emp	CAP	624	WEB DIGITAL	WEB EMPRESAS	Santiago	Santiago	NUEVO	22680.6723	MOVIL	PLAN IM	Web Digital	Anulaciones	1	septiembre	2020	18	AGOSTO	2020	Web Digital	Ejecutivo	NA	27722.6891	01/09/2020
604A4aK4bxoU	17/12/2019	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Web Digital	Captura	AGIL PERS C/GIRO	MICRO Y SOHO	EPD53	2200 Emp. Extra SIM	SIM Emp	CAP	630	FCE VENTAS CLIENTES WEB	FONO COMPRAS	Santiago	Santiago	NUEVO	13436.97479	MOVIL	PLAN IM	Web Digital	Anulaciones	14	ENERO	2020	17	DICIEMBRE	2019	Web Digital	NA	NA	10915.96639	14/01/2020
604A4aK4bxoU	17/12/2019	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Web Digital	Captura	AGIL PERS C/GIRO	MICRO Y SOHO	EPD53	2200 Emp. Extra SIM	SIM Emp	CAP	630	FCE VENTAS CLIENTES WEB	FONO COMPRAS	Santiago	Santiago	NUEVO	13436.97479	MOVIL	PLAN IM	Web Digital	Anulaciones	14	ENERO	2020	17	DICIEMBRE	2019	Web Digital	NA	NA	10915.96639	14/01/2020
Kedw9Dxi3rwv	11/12/2019	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Web Digital	Captura	PERS GIRO COM PYME C	MICRO Y SOHO	EPD56	2203 Emp. Extra SIM	SIM Emp	CAP	630	FCE VENTAS CLIENTES WEB	FONO COMPRAS	Santiago	Santiago	UPSELLING	27722.68908	MOVIL	PLAN IM	Web Digital	Anulaciones	15	ENERO	2020	11	DICIEMBRE	2019	Web Digital	NA	NA	18478.9916	15/01/2020
Kedw9Dxi3rwv	11/12/2019	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Web Digital	Captura	PERS GIRO COM PYME C	MICRO Y SOHO	EPD56	2203 Emp. Extra SIM	SIM Emp	CAP	630	FCE VENTAS CLIENTES WEB	FONO COMPRAS	Santiago	Santiago	UPSELLING	27722.68908	MOVIL	PLAN IM	Web Digital	Anulaciones	15	ENERO	2020	11	DICIEMBRE	2019	Web Digital	NA	NA	18478.9916	15/01/2020
TvtO72EHvnql	31/07/2020	WCI	SUSCRIPCIONES OFF	SUSCRIPCION	NA	SOCIEDAD COMERCIA	Captura	RUT -50MM .C/CTA.CTE	MICRO Y SOHO	EPD54	2201 Emp. Extra SIM	SIM Emp	CAP	4613	ARRETX TEMUCO ALEMANIA	TIENDA EXPRESS	Sur	Temuco	UPSELLING	17638.6555	MOVIL	PLAN IM	Franquicia	Anulaciones	31	julio	2020	31	JULIO	2020	Franquicia	Bz	NA	11756.3025	31/07/2020
aDpriKfq9IDc	27/12/2019	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	CGS	Captura	BAJO RIESGO CAV	MICRO Y SOHO	EPD52	2199 Emp. Extra SIM	SIM Emp	CAP	624	PREGO VENTAS REMOTAS	CALL CENTER OUTBOUND	Santiago	Santiago	UPSELLING	9235.294118	MOVIL	PLAN IM	OUTBOUND	Anulaciones	14	ENERO	2020	27	DICIEMBRE	2019	OUTBOUND	NA	NA	8394.957983	14/01/2020
zRp0UrpCjH2k	16/11/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Web Digital	Captura	PORT PER C/GIR MOVIL	MICRO Y SOHO	EPD89	2250 Internet Movil E. Extra	OTROS	FU	624	WEB DIGITAL	WEB EMPRESAS	Santiago	Santiago	UPSELLING	13361.3445	BAM	BAM	Web Digital	Anulaciones	25	noviembre	2020	16	NOVIEMBRE	2020	Web Digital	Ejecutivo	NA	10000	25/11/2020
Vh2eDYEveGYy	11/12/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Web Digital	Captura	PERS GIRO COM PYME C	MICRO Y SOHO	EPD53	2200 Emp. Extra SIM	SIM Emp	CAP	624	WEB DIGITAL	WEB EMPRESAS	Santiago	Santiago	UPSELLING	13436.9748	MOVIL	PLAN IM	Web Digital	Anulaciones	31	diciembre	2020	11	DICIEMBRE	2020	Web Digital	Ejecutivo Virtual	NA	10915.9664	31/12/2020
Vh2eDYEveGYy	11/12/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Web Digital	Captura	PERS GIRO COM PYME C	MICRO Y SOHO	EPD53	2200 Emp. Extra SIM	SIM Emp	CAP	624	WEB DIGITAL	WEB EMPRESAS	Santiago	Santiago	UPSELLING	13436.9748	MOVIL	PLAN IM	Web Digital	Anulaciones	31	diciembre	2020	11	DICIEMBRE	2020	Web Digital	Ejecutivo Virtual	NA	10915.9664	31/12/2020
pewNbQjZEGck	04/03/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	CGS	Captura	BAJO RIESGO CAV	MICRO Y SOHO	EPD52	2199 Emp. Extra SIM	SIM Emp	CAP	624	WEB DIGITAL	WEB EMPRESAS	Santiago	Santiago	UPSELLING	9235.294118	MOVIL	PLAN IM	OUTBOUND	Anulaciones	2	ABRIL	2020	4	MARZO	2020	OUTBOUND	Ejecutivo	NA	8394.958	02/04/2020
pewNbQjZEGck	04/03/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	CGS	Captura	BAJO RIESGO CAV	MICRO Y SOHO	EPD52	2199 Emp. Extra SIM	SIM Emp	CAP	624	WEB DIGITAL	WEB EMPRESAS	Santiago	Santiago	UPSELLING	9235.294118	MOVIL	PLAN IM	OUTBOUND	Anulaciones	2	ABRIL	2020	4	MARZO	2020	OUTBOUND	Ejecutivo	NA	8394.958	02/04/2020
7JQFPGy3R36k	08/01/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	CGS	Captura	BAJO RIESGO CAV	MICRO Y SOHO	EPD52	2199 Emp. Extra SIM	SIM Emp	CAP	624	PREGO VENTAS REMOTAS	CALL CENTER OUTBOUND	Santiago	Santiago	UPSELLING	9235.294118	MOVIL	PLAN IM	OUTBOUND	Anulaciones	14	ENERO	2020	8	ENERO	2020	OUTBOUND	NA	NA	8394.957983	14/01/2020
7JQFPGy3R36k	08/01/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	CGS	Captura	BAJO RIESGO CAV	MICRO Y SOHO	EPD52	2199 Emp. Extra SIM	SIM Emp	CAP	624	PREGO VENTAS REMOTAS	CALL CENTER OUTBOUND	Santiago	Santiago	UPSELLING	9235.294118	MOVIL	PLAN IM	OUTBOUND	Anulaciones	14	ENERO	2020	8	ENERO	2020	OUTBOUND	NA	NA	8394.957983	14/01/2020
7JQFPGy3R36k	08/01/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	CGS	Captura	BAJO RIESGO CAV	MICRO Y SOHO	EPD52	2199 Emp. Extra SIM	SIM Emp	CAP	624	PREGO VENTAS REMOTAS	CALL CENTER OUTBOUND	Santiago	Santiago	UPSELLING	9235.294118	MOVIL	PLAN IM	OUTBOUND	Anulaciones	14	ENERO	2020	8	ENERO	2020	OUTBOUND	NA	NA	8394.957983	14/01/2020
zmkK5cxhQlQQ	18/05/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Roma SPA	Captura	PERS GIRO COM PYME C	MICRO Y SOHO	EPD90	2251 Bam Emp. Extra	OTROS	FU	3782	AGENTES CAPTURA DELIVERY	AGENTES CAPTURA DELIVERY	Santiago	Santiago	NUEVO	22605.04202	BAM	BAM	Agentes Captura	Anulaciones	27	MAYO	2020	18	MAYO	2020	Agentes Captura	Backoffice	NA	15882.3529	27/05/2020
lh045CRye7bC	13/08/2020	WPE	SUSCRIPCIÓN ON MULTIMEDIA	SUSCRIPCION	NA	OTROS	OTROS	PERS GIRO COM PYME C	MICRO Y SOHO	EPD79	2245 Emp. Extra PRO	PRO EMP	CAP	1543	ASISTENTE VIRTUAL	CALL CENTER	OTROS	OTROS	UPSELLING	25201.6807	MOVIL	PLAN IM	OTROS	Anulaciones	20	agosto	2020	13	AGOSTO	2020	OTROS	NA	NA	21000	20/08/2020
lh045CRye7bC	13/08/2020	WPE	SUSCRIPCIÓN ON MULTIMEDIA	SUSCRIPCION	NA	OTROS	OTROS	PERS GIRO COM PYME C	MICRO Y SOHO	EPD79	2245 Emp. Extra PRO	PRO EMP	CAP	1543	ASISTENTE VIRTUAL	CALL CENTER	OTROS	OTROS	UPSELLING	25201.6807	MOVIL	PLAN IM	OTROS	Anulaciones	20	agosto	2020	13	AGOSTO	2020	OTROS	NA	NA	21000	20/08/2020
lh045CRye7bC	13/08/2020	WPE	SUSCRIPCIÓN ON MULTIMEDIA	SUSCRIPCION	NA	OTROS	OTROS	PERS GIRO COM PYME C	MICRO Y SOHO	EPD79	2245 Emp. Extra PRO	PRO EMP	CAP	1543	ASISTENTE VIRTUAL	CALL CENTER	OTROS	OTROS	UPSELLING	25201.6807	MOVIL	PLAN IM	OTROS	Anulaciones	20	agosto	2020	13	AGOSTO	2020	OTROS	NA	NA	21000	20/08/2020
lh045CRye7bC	13/08/2020	WPE	SUSCRIPCIÓN ON MULTIMEDIA	SUSCRIPCION	NA	OTROS	OTROS	PERS GIRO COM PYME C	MICRO Y SOHO	EPD79	2245 Emp. Extra PRO	PRO EMP	CAP	1543	ASISTENTE VIRTUAL	CALL CENTER	OTROS	OTROS	UPSELLING	25201.6807	MOVIL	PLAN IM	OTROS	Anulaciones	20	agosto	2020	13	AGOSTO	2020	OTROS	NA	NA	21000	20/08/2020
lh045CRye7bC	13/08/2020	WPE	SUSCRIPCIÓN ON MULTIMEDIA	SUSCRIPCION	NA	OTROS	OTROS	PERS GIRO COM PYME C	MICRO Y SOHO	EPD79	2245 Emp. Extra PRO	PRO EMP	CAP	1543	ASISTENTE VIRTUAL	CALL CENTER	OTROS	OTROS	UPSELLING	25201.6807	MOVIL	PLAN IM	OTROS	Anulaciones	20	agosto	2020	13	AGOSTO	2020	OTROS	NA	NA	21000	20/08/2020
lh045CRye7bC	13/08/2020	WPE	SUSCRIPCIÓN ON MULTIMEDIA	SUSCRIPCION	NA	OTROS	OTROS	PERS GIRO COM PYME C	MICRO Y SOHO	EPD79	2245 Emp. Extra PRO	PRO EMP	CAP	1543	ASISTENTE VIRTUAL	CALL CENTER	OTROS	OTROS	UPSELLING	25201.6807	MOVIL	PLAN IM	OTROS	Anulaciones	20	agosto	2020	13	AGOSTO	2020	OTROS	NA	NA	21000	20/08/2020
5BeqDeUdhBFC	26/08/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Web Digital	Captura	AGIL PERS C/GIRO	MICRO Y SOHO	EPD89	2250 Bam Emp. Extra	OTROS	FU	624	WEB DIGITAL	WEB EMPRESAS	Santiago	Santiago	NUEVO	13361.3445	BAM	BAM	Web Digital	Anulaciones	16	septiembre	2020	26	AGOSTO	2020	Web Digital	Ejecutivo	NA	13361.3445	16/09/2020
U7Z8QQdFzEi8	19/10/2020	WCI	SUSCRIPCIONES OFF	SUSCRIPCION	NA	EXPRESS LTDA	Captura	PERS GIRO COM PYME C	MICRO Y SOHO	EPD89	2250 Internet Movil E. Extra	OTROS	FU	4165	EXPRESS LTDA CURICÓ	TIENDA EXPRESS	Centro	Curico	UPSELLING	13361.3445	BAM	BAM	Franquicia	Anulaciones	23	octubre	2020	19	OCTUBRE	2020	Franquicia	Bz	NA	10000	23/10/2020
rJa5hDGX0wLD	03/07/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	ENTEL	Captura	PERS GIRO COM PYME C	MICRO Y SOHO	EPD53	2200 Emp. Extra SIM	SIM Emp	CAP	25	TIENDAS PROPIAS CONCEPCION	TIENDAS PROPIAS	Sur	Concepcion	NUEVO	13436.9748	MOVIL	PLAN IM	Tiendas Propias	Anulaciones	3	julio	2020	3	JULIO	2020	Tiendas Propias	Bz	NA	10075.6303	03/07/2020
na9VbaVO60Qn	02/07/2020	WPE	SUSCRIPCIÓN ON MULT. PORT.	SUSCRIPCION	NA	Roma SPA	Captura	SOC.DE PROF PYME C	MICRO Y SOHO	EPD78	2244 Emp. Extra PRO	PRO EMP	CAP	3782	AGENTES CAPTURA DELIVERY	AGENTES CAPTURA DELIVERY	Santiago	Santiago	UPSELLING	18478.9916	MOVIL	PLAN IM	Agentes Captura	Anulaciones	13	agosto	2020	2	JULIO	2020	Agentes Captura	Backoffice	NA	14362.1849	13/08/2020
yj4NFrSSYpUg	08/04/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Entel Call Center	Captura	AGIL EMPRESA	MICRO Y SOHO	EPD89	2250 Bam Emp. Extra	OTROS	FU	630	WEB ASISTIDO	WEB EMPRESAS	Santiago	Santiago	NUEVO	14201.68067	BAM	BAM	Web Asistido	Anulaciones	2	JUNIO	2020	8	ABRIL	2020	Web Asistido	Ejecutivo	NA	13361.3445	02/06/2020
MyD3gYxNIkVc	14/05/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Pecom	Captura	AGIL PERS C/GIRO	MICRO Y SOHO	EPD89	2250 Bam Emp. Extra	OTROS	FU	3782	AGENTES CAPTURA DELIVERY	AGENTES CAPTURA DELIVERY	Santiago	Santiago	NUEVO	14201.68067	BAM	BAM	Agentes Captura	Anulaciones	30	JUNIO	2020	14	MAYO	2020	Agentes Captura	Encargado Externo	NA	10000	30/06/2020
MyD3gYxNIkVc	14/05/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Pecom	Captura	AGIL PERS C/GIRO	MICRO Y SOHO	EPD89	2250 Bam Emp. Extra	OTROS	FU	3782	AGENTES CAPTURA DELIVERY	AGENTES CAPTURA DELIVERY	Santiago	Santiago	NUEVO	14201.68067	BAM	BAM	Agentes Captura	Anulaciones	30	JUNIO	2020	14	MAYO	2020	Agentes Captura	Encargado Externo	NA	10000	30/06/2020
unfLUB1CdDYM	17/04/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Web Digital	Captura	AGIL PERS C/GIRO	MICRO Y SOHO	EPD56	2203 Emp. Extra SIM	SIM Emp	CAP	630	WEB ASISTIDO	WEB EMPRESAS	Santiago	Santiago	NUEVO	27722.68908	MOVIL	PLAN IM	Web Digital	Anulaciones	24	JUNIO	2020	17	ABRIL	2020	Web Digital	Ejecutivo	NA	27722.6891	24/06/2020
JfVFSm5kAohV	08/05/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Entel Call Center	Atención	PERS GIRO COM PYME C	MICRO Y SOHO	EPD52	2199 Emp. Extra SIM	SIM Emp	CAP	1543	ASISTENTE VIRTUAL	CALL CENTER	Lima	Lima	UPSELLING	9235.294118	MOVIL	PLAN IM	Fusion movil	Anulaciones	14	MAYO	2020	8	MAYO	2020	Fusion movil	AGENTE	NA	8394.958	14/05/2020
SC52ZPr5GVou	19/06/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Entel Call Center	Desarrollo	BAJO RIESGO B	MEDIANAS	EPD91	2252 Bam Emp. Extra	OTROS	FU	795	PYMES REMOTO	PYMES REMOTO	Santiago	Santiago	UPSELLING	27647.0588	BAM	BAM	Gestor Clientes Medianas Santiago	Anulaciones	2	julio	2020	19	JUNIO	2020	Gestor Clientes Medianas Santiago	Ejecutivo	NA	21764.7059	02/07/2020
X5BPhi1YpMVV	04/05/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Web Digital	Captura	AGIL PERS C/GIRO	MICRO Y SOHO	EPD53	2200 Emp. Extra SIM	SIM Emp	CAP	630	WEB ASISTIDO	WEB EMPRESAS	Santiago	Santiago	UPSELLING	13436.97479	MOVIL	PLAN IM	Web Digital	Anulaciones	25	JUNIO	2020	4	MAYO	2020	Web Digital	Ejecutivo	NA	10915.9664	25/06/2020
X5BPhi1YpMVV	02/12/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Entel Call Center	Captura	AGIL PERS C/GIRO	MICRO Y SOHO	EPD53	2200 Emp. Extra SIM	SIM Emp	CAP	630	WEB ASISTIDO	WEB EMPRESAS	Santiago	Santiago	UPSELLING	13436.9748	MOVIL	PLAN IM	Web Asistido	Anulaciones	18	diciembre	2020	2	DICIEMBRE	2020	Web Asistido	Ejecutivo	NA	10075.6303	18/12/2020
RHiNBhWd21gW	26/12/2019	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	CGS	Captura	BAJO RIESGO CAV	MICRO Y SOHO	EPD52	2199 Emp. Extra SIM	SIM Emp	CAP	624	PREGO VENTAS REMOTAS	CALL CENTER OUTBOUND	Santiago	Santiago	UPSELLING	9235.294118	MOVIL	PLAN IM	OUTBOUND	Anulaciones	14	ENERO	2020	26	DICIEMBRE	2019	OUTBOUND	NA	NA	8394.957983	14/01/2020
RHiNBhWd21gW	26/12/2019	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	CGS	Captura	BAJO RIESGO CAV	MICRO Y SOHO	EPD52	2199 Emp. Extra SIM	SIM Emp	CAP	624	PREGO VENTAS REMOTAS	CALL CENTER OUTBOUND	Santiago	Santiago	UPSELLING	9235.294118	MOVIL	PLAN IM	OUTBOUND	Anulaciones	14	ENERO	2020	26	DICIEMBRE	2019	OUTBOUND	NA	NA	8394.957983	14/01/2020
RHiNBhWd21gW	26/12/2019	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	CGS	Captura	BAJO RIESGO CAV	MICRO Y SOHO	EPD52	2199 Emp. Extra SIM	SIM Emp	CAP	624	PREGO VENTAS REMOTAS	CALL CENTER OUTBOUND	Santiago	Santiago	UPSELLING	9235.294118	MOVIL	PLAN IM	OUTBOUND	Anulaciones	14	ENERO	2020	26	DICIEMBRE	2019	OUTBOUND	NA	NA	8394.957983	14/01/2020
xjtADiZHAslE	10/07/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Web Digital	Captura	AGIL PERS C/GIRO	MICRO Y SOHO	EPD53	2200 Emp. Extra SIM	SIM Emp	CAP	624	WEB DIGITAL	WEB EMPRESAS	Santiago	Santiago	NUEVO	13436.9748	MOVIL	PLAN IM	Web Digital	Anulaciones	17	julio	2020	10	JULIO	2020	Web Digital	Ejecutivo	NA	10915.9664	17/07/2020
xjtADiZHAslE	10/07/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Web Digital	Captura	AGIL PERS C/GIRO	MICRO Y SOHO	EPD53	2200 Emp. Extra SIM	SIM Emp	CAP	624	WEB DIGITAL	WEB EMPRESAS	Santiago	Santiago	NUEVO	13436.9748	MOVIL	PLAN IM	Web Digital	Anulaciones	17	julio	2020	10	JULIO	2020	Web Digital	Ejecutivo	NA	10915.9664	17/07/2020
QYCOVbdpbMcs	24/06/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	OTROS	OTROS	PERS GIRO COM PYME C	MICRO Y SOHO	EPD56	2203 Emp. Extra SIM	SIM Emp	CAP	1543	ASISTENTE VIRTUAL	CALL CENTER	OTROS	OTROS	UPSELLING	22680.67227	MOVIL	PLAN IM	Fusion movil	Anulaciones	24	JUNIO	2020	24	JUNIO	2020	Fusion movil	NA	NA	16798.3193	24/06/2020
