...1	ola - Ola Medicion	F1 - F1. ¿Es usted la persona que administra la (s) cuenta (s) que su empresa tiene con el (los) operadores de productos o servicios móviles?	"P1 - I. MODULO INDICADORES GENERALES 
    
       1. En su empresa, ¿con qué compañías tiene contratado los servicios de telefonía celular como teléfonos o banda ancha móvil? (MÚLTILPLE; LEER OPCIONES)"	EMPTY LABEL - No Information Provided...5	P2 - P2. De las empresas con las cuales tiene contratados los servicios Móviles, nos podría decir ¿Cuál es la principal? (RESPUESTA ÚNICA)	"P3 - AHORA HABLAREMOS DE SU RELACIÓN CON ENTEL 
     
           3. Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7= Muy satisfecho, ¿Cuán satisfecho está Ud. con ENTEL?"	p4_COD - 4. ¿Por qué evalúa con esa nota? (sondear y profundizar) LITERAL	"P5__1 - a)	Entel es una empresa con buena imagen en general  :"	"P6 - 6.	¿Y con qué nota de 1 a 7 donde 1 es muy insatisfecho y 7 es muy satisfecho, Cómo evalúa a Entel en cuanto a la Calidad y Cobertura de las llamadas?"	"P7 - 7.	Y siguiendo la misma escala de 1 a 7 ¿Cómo evalúa a Entel en cuanto al servicio de Internet a través del celular?"	P8__1 - a) Precio del Plan en relación al mercado (Competitividad) :	P8__2 - b) Competitividad de planes en cuanto a minutos :	P8__3 - c) Competitividad de planes en cuanto a Internet Móvil o internet en su celular :	P8__4 - d) El precio de los equipos en relación al mercado. :	"P9 - 9.	Y en lo que respecta a Servicio a Clientes, ¿cuán satisfecho está con ENTEL? Escala 1 a 7"	P10__1 - Contratación de nuevas líneas :	"P10__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P10__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P10__4 - Solicitar cambio de plan :	P10__5 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P10__6 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P11__1 - Contratación de nuevas líneas :	"P11__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P11__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P11__4 - Solicitar cambio de plan :	P11__5 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P11__6 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P12__1 - Contratación de nuevas líneas :	"P12__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P12__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P12__4 - Solicitar cambio de plan :	P12__5 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P12__6 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P13__1 - Ejecutivo asignado :	P13__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P13__3 - Call Center Empresa :	P13__4 - Página Web Empresa (Todos) :	P13__5 - Tiendas/ Sucursales (Todos) :	P13__6 - App administradores empresas (Todos) :	P14__1 - Ejecutivo asignado :	P14__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P14__3 - Call Center Empresa :	P14__4 - Página Web Empresa (Todos) :	P14__5 - Tiendas/ Sucursales (Todos) :	P14__6 - App administradores empresas (Todos) :	"P15__1 - a)	El Proceso de Facturación en general :"	"P15__2 - b)	La Exactitud de los cobros :"	"P15__3 - c)	La Claridad de la factura :"	"P15__4 - d)	La Facilidad para realizar el pago :"	"P16 - IV.	MODULO INCIDENCIAS 
             16. En los últimos 3 meses, ¿ha tenido algún problema con el servicio entregado por Entel a su empresa?"	P17_COD - 17. ¿Qué problemas ha tenido? Sondear	"P18 - LEALTAD 
         18. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿Qué tan dispuesto estaría usted a continuar con Entel?"	P19 - 19. Pensando en este periodo de crisis Covid-19 ¿Cuan satisfecho está con ENTEL como proveedor de servicios de telecomunicaciones? Escala de 1 a 7, 99= No sabe/no responde	P20 - 20. ¿Aceptaría que Entel conozca sus respuestas y lo contactara para entender en profundidad sus requerimientos/necesidades?	SEG_CORFO	"P23 - 23.	¿Cuál es el rubro de su empresa?"	"P25 - 25.	¿Ciudad o Comuna de Ubicación de su Empresa?"	"P28 - 28.	Sexo  (No preguntar):"	"P29 - 29.	REGION (no preguntar):"	EMPTY LABEL - No Information Provided...61	EMPTY LABEL - No Information Provided...62	EMPTY LABEL - No Information Provided...63	EMPTY LABEL - No Information Provided...64	EMPTY LABEL - No Information Provided...65
13bIO2nvc09d	MEDICION SEPTIEMBRE 2020	Sí	Entel,Claro,Otros	telefonica de sur	Entel	5	Problemas con equipos / calidad /reposición /cambio	6	6	6	6	6	6	6	2	No	No	No	Si	Si	Si	NA	NA	NA	6	1. Muy Insatisfecho	1. Muy Insatisfecho	NA	NA	NA	1.Ejecutivo asignado para su empresa,2.Call center	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	Sí	Sí	Sí	No	No	No	6	6	6	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	6	7. Muy Satisfecho	SI	Problemas técnicos	3	4	Sí	MEDIANA	SERVICIOS TECNOLOGICOS	PUERTO MONTT, SANTIAGO	Hombre	SANTIAGO	MV	Mediana	MEDIANAS	Convergente	Stock Movil
tqNQYj4gNcRN	MEDICION SEPTIEMBRE 2020	Sí	Entel,Movistar	NA	Entel	5	Caro,Mala cobertura	6	5	5	5	6	6	3	6	Si	Si	Si	No	No	No	5	6	7. Muy Satisfecho	NA	NA	NA	2.Call center	3.Página Web Entel Empresas	3.Página Web Entel Empresas	NA	NA	NA	NA	NA	Sí	Sí	Sí	No	NA	NA	6	6	5	NA	6	6	6	7. Muy Satisfecho	NO	NA	6	6	Sí	PEQUEÑA	MAESTRANZA	LOA ANGELES	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
tZ8uGLd3Qq8S	MEDICION SEPTIEMBRE 2020	Sí	Entel,Movistar	NA	Entel	6	Caro	7. En absoluto acuerdo	6	5	4	4	4	2	5	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	Sí	NA	NA	NA	NA	NA	4	6	6	7. Muy Satisfecho	7. Muy Satisfecho	SI	Señal de internet, se cae, lento,Calidad señal telefónica	5	2	Sí	MICRO	RECICLAJE	PUNTA ARENAS	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
iAhfXD8TDJeH	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	4	Mal servicio / calidad servicio,Mala atencion con ejecutivos,No solucionan problemas	4	4	5	6	6	5	6	4	No	No	No	No	Si	Si	NA	NA	NA	NA	3	5	NA	NA	NA	NA	1.Ejecutivo asignado para su empresa,2.Call center,3.Página Web Entel Empresas	1.Ejecutivo asignado para su empresa	Sí	NA	Sí	Sí	Sí	No	5	NA	4	3	5	NA	7. Muy Satisfecho	6	6	7. Muy Satisfecho	SI	Mala señal	5	5	Sí	GGEE	abastesimiento de abarrotes	temuco	Mujer	REGIONES	AV	GGEE	GRANDES CUENTAS	Móvil	Stock Movil
v5O1VcBNKjNF	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	No ha tenido problemas,Buen servicio / calidad servicio	6	6	6	6	Ns/Nr	Ns/Nr	6	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	6	6	6	6	NO	NA	7. Muy Satisfecho	6	Sí	MICRO	AGRÍCOLA	REGIÓN DE ÑUBLE	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
BZXk3fAeuTZk	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Mala atencion con ejecutivos	7. En absoluto acuerdo	5	7. Muy Satisfecho	5	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	Si	No	No	Si	No	No	7. Muy Satisfecho	NA	NA	7. Muy Satisfecho	NA	NA	4.En tiendas/ sucursales	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	SI	Cobertura sin especificar	7. Muy Satisfecho	6	Sí	MEDIANA	INVERSIONES	SANTIAGO VITACURA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
IN3lqJ6887wt	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Disponibilidad del ejecutivo,Buena atención telefónica	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	Ns/Nr	7. Muy Satisfecho	Si	No	No	No	No	No	7. Muy Satisfecho	NA	NA	NA	NA	NA	1.Ejecutivo asignado para su empresa	NA	NA	NA	NA	NA	Sí	Sí	No	No	No	No	7. Muy Satisfecho	7. Muy Satisfecho	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	GGEE	turismo	Las Condes	Hombre	SANTIAGO	MP	Mediana	MEDIANAS	Móvil	Stock Movil
0pq1u5ifeYtC	MEDICION SEPTIEMBRE 2020	Sí	Entel,Otros	MUNDO PACIFICO	Entel	6	Mal servicio internet / señal	6	6	5	5	5	5	3	4	No	No	Si	No	No	No	NA	NA	5	NA	NA	NA	NA	NA	3.Página Web Entel Empresas	NA	NA	NA	NA	NA	No	Sí	No	No	NA	NA	NA	5	NA	NA	6	5	5	5	SI	Señal de internet, se cae, lento,Mala señal	5	5	Sí	MICRO	RESTAURAN	SAN JAVIER	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Convergente	Stock Movil
PNAvhOLGyeKu	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Rápida solución de problemas,Buen servicio / calidad servicio	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	No	Si	No	Si	No	Si	NA	7. Muy Satisfecho	NA	7. Muy Satisfecho	NA	7. Muy Satisfecho	NA	3.Página Web Entel Empresas	NA	3.Página Web Entel Empresas	NA	1.Ejecutivo asignado para su empresa	Sí	No	Sí	Sí	No	No	7. Muy Satisfecho	NA	7. Muy Satisfecho	7. Muy Satisfecho	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	MEDIANA	LABORATORIO CLINICO, SALUD	VALDIVIA	Mujer	REGIONES	MP	Mediana	MEDIANAS	Móvil	Stock Movil
fx2Un7cKWjpr	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Buen servicio / calidad servicio	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	6	7. Muy Satisfecho	Si	No	No	No	No	No	7. Muy Satisfecho	NA	NA	NA	NA	NA	1.Ejecutivo asignado para su empresa	NA	NA	NA	NA	NA	Sí	NA	Sí	Sí	No	No	7. Muy Satisfecho	NA	7. Muy Satisfecho	7. Muy Satisfecho	NA	NA	6	7. Muy Satisfecho	6	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	GGEE	COMPRA Y VENTA INSUMOS AGRICOLAS	LA REINA	Hombre	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Móvil	Stock Movil
avdq144uHQH7	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Buen servicio / calidad servicio	6	6	6	6	4	6	5	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	6	6	5	6	NO	NA	6	6	Sí	PEQUEÑA	SERVICIO A LA MINERIA	ANTOFAGASTA	Hombre	SANTIAGO	MP	Mediana	MEDIANAS	Fijo	Stock Movil
UebPPidQjwyW	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Caro	7. En absoluto acuerdo	4	3	3	3	3	4	7. Muy Satisfecho	No	Si	Si	No	Si	No	NA	7. Muy Satisfecho	6	NA	6	NA	NA	2.Call center,3.Página Web Entel Empresas,5.App Administradores Empresa	5.App Administradores Empresa	NA	2.Call center	NA	NA	NA	Sí	Sí	No	Sí	NA	NA	6	6	NA	6	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	6	SI	Cobertura sin especificar,Disminución velocidad datos	4	3	Sí	PEQUEÑA	VENTAS DE REPUESTOS MINEROS	SANTIAGO	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
k1HVu3hDZx2a	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	3	Mal servicio internet / señal	3	5	4	5	Ns/Nr	5	1. Muy Insatisfecho	4	No	No	No	Si	No	No	NA	NA	NA	6	NA	NA	NA	NA	NA	2.Call center	NA	NA	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	6	6	6	6	SI	Señal de internet, se cae, lento	5	2	Sí	PEQUEÑA	TURISMO	SAN PEDRO DE ATACAMA	Mujer	REGIONES	MP	Mediana	MEDIANAS	Móvil	Stock Movil
vkaMd7RVxLre	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	3	Mala cobertura,Mal servicio / calidad servicio	6	5	5	4	4	4	6	4	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	6	6	4	6	SI	Cobertura sin especificar	6	3	Sí	MEDIANA	trasnporet y comercializadora	padre hurtado / santiago	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Convergente	Stock Movil
GdznBcbH1XBR	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buena señal,Buen servicio / calidad servicio	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	6	6	6	6	7. Muy Satisfecho	No	No	No	No	No	Si	NA	NA	NA	NA	NA	7. Muy Satisfecho	NA	NA	NA	NA	NA	2.Call center	NA	NA	No	Sí	No	Sí	NA	NA	NA	7. Muy Satisfecho	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	PEQUEÑA	TEELCOMUNICACIONES	PUENTE ALTO	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Fijo	Stock Movil
eDX2ENIa8fJ8	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	No Sabe/ No responde	6	6	5	5	5	6	5	5	Si	No	No	No	No	No	5	NA	NA	NA	NA	NA	2.Call center	NA	NA	NA	NA	NA	NA	NA	Sí	No	No	No	NA	NA	6	NA	NA	NA	6	6	6	6	NO	NA	5	5	Sí	PEQUEÑA	servicios forestales	los angeles7 octava region	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
mgmSVpI9y2Zr	MEDICION SEPTIEMBRE 2020	Sí	Entel,WOM (no mencionar)	NA	Entel	6	Mala señal	7. En absoluto acuerdo	6	7. Muy Satisfecho	5	5	5	5	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	6	6	Sí	MEDIANA	DESARROLLO DE INGENIERIA	CHILLAN VIEJO	Mujer	REGIONES	AP	GGEE	EMPRESAS	Móvil	Stock Movil
6UC5DHUCFqWz	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	No ha tenido problemas	6	6	6	5	5	6	5	6	No	Si	Si	Si	Si	No	NA	6	7. Muy Satisfecho	6	7. Muy Satisfecho	NA	NA	2.Call center,3.Página Web Entel Empresas	2.Call center,3.Página Web Entel Empresas	2.Call center,3.Página Web Entel Empresas	2.Call center	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	6	6	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	6	7. Muy Satisfecho	Sí	MICRO	CONSULTORÍA	ÑUÑOA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
ysJ28lxvJ0nn	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Buen servicio / calidad servicio	6	7. Muy Satisfecho	5	6	5	5	3	5	No	Si	Si	No	No	No	NA	4	5	NA	NA	NA	NA	2.Call center	5.App Administradores Empresa	NA	NA	NA	NA	NA	Sí	No	No	Sí	NA	NA	4	NA	NA	3	5	6	6	7. Muy Satisfecho	NO	NA	6	6	Sí	MICRO	DISEÑO GRAFICO/PUBLICIDAD	CONCEPCIÓN	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Convergente	Stock Movil
QixGLVuT4JnK	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buen servicio / calidad servicio,Buenos planes,Buen servicio internet,Buena señal	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	5	4	Ns/Nr	7. Muy Satisfecho	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	6	7. Muy Satisfecho	6	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	PEQUEÑA	DE SEGURIDAD	PUENTE ALTO SANTIAGO	Mujer	SANTIAGO	MP	Mediana	MEDIANAS	Móvil	Stock Movil
BhSLpMzeEmBF	MEDICION SEPTIEMBRE 2020	Sí	Entel,Movistar	NA	Entel	6	Buen servicio / calidad servicio	6	6	7. Muy Satisfecho	5	5	6	5	3	No	No	No	No	Si	Si	NA	NA	NA	NA	3	1. Muy Insatisfecho	NA	NA	NA	NA	4.En tiendas/ sucursales	4.En tiendas/ sucursales	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	6	6	7. Muy Satisfecho	4	NO	NA	5	6	Sí	PEQUEÑA	ASEO INDUSTRIAL	VALPARAISO	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
VYoDIkJFhKh8	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Mal servicio / calidad servicio	5	6	4	4	4	Ns/Nr	3	2	Si	Si	No	Si	No	Si	2	2	NA	3	NA	3	2.Call center,3.Página Web Entel Empresas	4.En tiendas/ sucursales	NA	2.Call center	NA	2.Call center,3.Página Web Entel Empresas	NA	NA	Sí	Sí	No	Sí	NA	NA	4	5	NA	5	2	6	1. Muy Insatisfecho	6	NO	NA	5	6	Sí	MICRO	peluquería, salón de belleza	las condes, santiago	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Fijo	Stock Movil
lyfzR4XiLqqj	MEDICION SEPTIEMBRE 2020	Sí	Entel,Movistar	NA	Entel	6	Mala cobertura	7. En absoluto acuerdo	7. Muy Satisfecho	6	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	Ns/Nr	7. Muy Satisfecho	No	Si	Si	No	Si	No	NA	7. Muy Satisfecho	7. Muy Satisfecho	NA	7. Muy Satisfecho	NA	NA	3.Página Web Entel Empresas	3.Página Web Entel Empresas	NA	2.Call center	NA	NA	NA	Sí	Sí	No	No	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	SI	Señal de internet, se cae, lento	7. Muy Satisfecho	6	Sí	MEDIANA	SERVICIOS	METROPOLITANA	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
1Zm0AnYoOdib	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Lentas respuestas a solución de problemas	6	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	6	No	No	Si	Si	Si	Si	NA	NA	6	7. Muy Satisfecho	2	7. Muy Satisfecho	NA	NA	2.Call center	2.Call center	2.Call center	4.En tiendas/ sucursales	NA	NA	Sí	No	Sí	Sí	NA	NA	5	NA	6	1. Muy Insatisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	SI	Demora en respuestas,No cumplimiento de lo pactado	7. Muy Satisfecho	7. Muy Satisfecho	Sí	MICRO	SERVICIO MEDICOS	ANTOFAGASTA SEGUNDA REGION DE CHILE	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
Triz1PME01K2	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	No ha tenido problemas,Buena cobertura,Rápida solución de problemas	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	No	No	No	No	Si	Si	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	NA	NA	NA	NA	4.En tiendas/ sucursales	4.En tiendas/ sucursales	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	MICRO	EDUCACION	MACUL	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Convergente	Stock Movil
hrGEuJvx2cGv	MEDICION SEPTIEMBRE 2020	Sí	Entel,Otros	TELEFONICA DEL SUR	Entel	5	Mala atencion con ejecutivos,Buena cobertura	6	7. Muy Satisfecho	5	5	5	4	6	4	No	No	No	Si	No	No	NA	NA	NA	4	NA	NA	NA	NA	NA	2.Call center,3.Página Web Entel Empresas	NA	NA	NA	NA	No	No	No	Sí	NA	NA	NA	NA	NA	5	7. Muy Satisfecho	6	6	6	NO	NA	6	6	Sí	MEDIANA	IMPORTADORES Y EXPORTADORES DE MARCAS EXTRANJERAS	PUERTO MONTT	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
VydlYl38AGP5	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	No ha tenido problemas	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	6	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	MICRO	ASESORÍA EN EDUCACIÓN SUPERIOR	ANTOFAGASTA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
nfnh0GpaMj8y	MEDICION SEPTIEMBRE 2020	Sí	Entel,Otros	telefónica del sur	Entel	5	Malas conexiones /conectividad	6	5	6	Ns/Nr	Ns/Nr	Ns/Nr	6	5	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	No	No	No	NA	NA	4	NA	NA	NA	6	6	6	6	SI	Señal de internet, se cae, lento	5	5	Sí	PEQUEÑA	administración de empresas	Coyhaique	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
NWak7wRHhP2d	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Mal servicio internet / señal	7. En absoluto acuerdo	7. Muy Satisfecho	6	5	7. Muy Satisfecho	6	4	5	No	Si	No	Si	Si	No	NA	6	NA	6	7. Muy Satisfecho	NA	NA	2.Call center,4.En tiendas/ sucursales	NA	2.Call center,4.En tiendas/ sucursales	4.En tiendas/ sucursales	NA	NA	NA	Sí	No	Sí	Sí	NA	NA	6	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	6	SI	Señal de internet, se cae, lento	7. Muy Satisfecho	6	Sí	MICRO	AGRICOLA	QUILLOTA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
PDpFwl8NwdWV	MEDICION SEPTIEMBRE 2020	Sí	Entel,Movistar	NA	Entel	7. Muy Satisfecho	Disponibilidad del ejecutivo	7. En absoluto acuerdo	6	6	7. Muy Satisfecho	5	6	6	7. Muy Satisfecho	Si	No	No	Si	No	No	7. Muy Satisfecho	NA	NA	7. Muy Satisfecho	NA	NA	1.Ejecutivo asignado para su empresa	NA	NA	1.Ejecutivo asignado para su empresa	NA	NA	Sí	NA	Sí	No	No	No	7. Muy Satisfecho	NA	7. Muy Satisfecho	NA	NA	NA	6	6	6	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	GGEE	construccion	las condes	Hombre	SANTIAGO	AP	GGEE	EMPRESAS	Móvil	Stock Movil
FoiETU9EQN07	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Mala señal	7. En absoluto acuerdo	6	6	5	5	5	7. Muy Satisfecho	6	No	No	No	Si	No	No	NA	NA	NA	7. Muy Satisfecho	NA	NA	NA	NA	NA	2.Call center	NA	NA	NA	NA	Sí	No	No	No	NA	NA	6	NA	NA	NA	6	6	7. Muy Satisfecho	7. Muy Satisfecho	SI	Mala señal,Conectividad	7. Muy Satisfecho	7. Muy Satisfecho	Sí	MICRO	ASESORIA A EMPRESAS. SERVICIOS FINANCIEROS	VIÑA DEL MAR	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
lu4tPjbyTIkz	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Mal servicio / calidad servicio	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	6	5	6	5	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	No	No	NA	NA	5	5	NA	NA	6	6	6	7. Muy Satisfecho	SI	Demora en respuestas	5	6	Sí	MICRO	AREA DE TURISMO	VALPARAISO	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
Y7ypQggG0YH6	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buena cobertura,Buena señal	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	5	5	6	5	7. Muy Satisfecho	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	MEDIANA	PRODUCTOS DE LABORATORIO	CONCEPCION	Mujer	REGIONES	MV	Mediana	MEDIANAS	Móvil	Stock Movil
