encriptado	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	SEG_CORFO	Rubro	Ciudad_comuna	sex_enc	Regionx	SEG_GOL
WresiGGeYl8X	2	Mal servicio internet / señal	PEQUEÑA	transporte, prestaciones de servicio de maquinaria agrícola	los lagos y osorno	Hombre	REGIONES	MasPrem
NQmMWPa37GrT	7	No ha tenido problemas	MEDIANA	NO RESPONDE.	VALDIVIA.	Hombre	REGIONES	MP
GEzYvJBwxZnd	6	Buen servicio / calidad servicio	MICRO	OBRAS CIVILES MENORES	PROVIDENCIA	Hombre	SANTIAGO	Mas
9s3tQdQFOcVC	7	Buen servicio / calidad servicio	PEQUEÑA	capacitación	santiago	Hombre	SANTIAGO	Mas
t9aFNYdXzDsk	7	Buen servicio / calidad servicio	MEDIANA	OBRAS DE INGENIERIAS	PUENTE ALTO	Hombre	SANTIAGO	MV
RmVd06Ap8Tvm	2	Mala atención	GGEE	FABRICACIÓN DE MAQUINARIAS PARA SONDAJE DE MINERÍA	QUILICURA AVENIDA COLORADO 01200	Hombre	SANTIAGO	MV
3phF2D8m7Gd3	7	Rápidas respuestas,Buen servicio / calidad servicio	GGEE	Servicios y ventas a minería	conchali	Hombre	SANTIAGO	MP
oT5ZJG8Cuou3	6	Buena atencion	MEDIANA	EXPORTACIONES	PROVIDENCIA , SANTIAGO	Mujer	SANTIAGO	MP
6mxWCFzkymCX	7	Buenos planes	MEDIANA	EDUCACIÓN	TALCA	Hombre	REGIONES	MP
bGXogLQz67Hr	6	Empresa segura	MICRO	ASESORÍAS LEGALES	VITACURA	Hombre	SANTIAGO	Mas
GBf5DQEAbnlU	7	Buen servicio / calidad servicio,No ha tenido problemas	PEQUEÑA	ELECTRECIDAD PARA MAQUINARIA DE LA MINERIA	LAMPA	Hombre	SANTIAGO	Mas
Cwgn9z8FgxvK	6	No ha tenido problemas,Buena cobertura	MEDIANA	MANTENCIÓN DE EQUIPOS MINEROS.	LA PINTANA.	Hombre	SANTIAGO	MV
BVLLVeeW9Ow1	5	Mala atención	GGEE	transporte y ventas de artículos pesados	santiago	Mujer	SANTIAGO	AV
FrgJkia6i06j	7	Rápida solución de problemas,Buen servicio internet	GGEE	movimiento de tierra	concepción	Mujer	REGIONES	Mas
7uwcyfl0rnms	5	Mal servicio / calidad servicio	PEQUEÑA	COMERCIO.	QUILPUE.	Hombre	REGIONES	Mas
XpGACNsYT4Js	7	No ha tenido problemas	MEDIANA	FABRICA DE PLASTICO	SAN FELIPE	Mujer	REGIONES	MP
ai7wSmn88uaN	6	No Sabe/ No responde	MICRO	ventas de inmuebles	providencia, santiago	Hombre	SANTIAGO	Mas
OJeH6vULHJYB	7	No ha tenido problemas,Solucionan requerimientos	MEDIANA	METALURGICA	PUDAHUEL ,SANTIAGO	Hombre	SANTIAGO	MV
3BKsj5KFlkqX	5	Mala atencion con ejecutivos	MEDIANA	SERVICIOS DE SALUD	RECOLETA , SANTIAGO	Hombre	SANTIAGO	Mas
hEdEEu4IQzp4	7	Buen servicio / calidad servicio,Buena señal,Buenos precios / precios adecuados	GGEE	distribuidora de combustible	las condes	Hombre	SANTIAGO	MP
otjMm0o9Ohqx	5	Mala atención	PEQUEÑA	Arquitectura y construccion	Puerto Varas	Mujer	REGIONES	Mas
etaVS3jSF766	7	Buena conexión / conectividad,Solucionan requerimientos,Buena conexión / conectividad	MEDIANA	SERVICIOS INFORMÁTICO	PROVIDENCIA	Mujer	SANTIAGO	AP
LOVAqkqFGTYF	2	Mala cobertura,Mal servicio / calidad servicio	MICRO	MINERIA	LAS CONDES	Hombre	SANTIAGO	Mas
BNY4Z3XuL6fk	7	Buen servicio / calidad servicio	GGEE	CONSTRUCCIÓN.	VIÑA DEL MAR.	Hombre	REGIONES	AP
zKDKGgPv8gfg	7	Buena atencion,No ha tenido problemas	MICRO	atencion a pacientes	las condes	Hombre	SANTIAGO	Mas
RhI1i50DHDQy	3	Mala cobertura,Mal servicio / calidad servicio	GGEE	CONSTRUCCIÓN	SAN MIGUEL	Mujer	SANTIAGO	MV
Dr1eUDIO51cn	6	Buena cobertura,Buen servicio telefonico	PEQUEÑA	EDUCACION	VALPARAISO	Hombre	REGIONES	Mas
oMks3q5SsmPz	6	Falta atención personalizada	PEQUEÑA	medicina , prestaciones medicas	santiago , las condes	Hombre	SANTIAGO	MV
c3NQTHdbrBVl	7	Buenos precios / precios adecuados	PEQUEÑA	CONSTRUCCION	QUINTA NORMAL	Hombre	SANTIAGO	Mas
6kNukVO6e09k	6	Demora atención telefónica	PEQUEÑA	OPTICA	PUERTO MONTT	Mujer	REGIONES	Mas
toytIbwGxOPs	5	Mal servicio internet / señal	MICRO	empresa ventas y servicios de metales y construccion	santiago, lo barnechea	Mujer	SANTIAGO	Mas
mPzZa6AL856f	6	Mala atencion con ejecutivos	MEDIANA	MATERIALES DE CONSTRUCCIONES PARA GRANDES EMPRESAS ,MINERAS Y OTROS.	SANTIAGO ,RENCA	Hombre	SANTIAGO	MasPrem
NfQ6rFgX9ffS	5	Mala cobertura	MEDIANA	mineria	constitucion	Hombre	REGIONES	MP
s6KcOs7V16lN	3	Mal servicio / calidad servicio	MICRO	SERVICIO DE MANTENCIÓN	SANTIAGO	Hombre	SANTIAGO	Mas
aLjAEUpp9X0M	7	Buena señal,Facturación,Buen servicio internet	GGEE	TRANSPORTE MARITIMO.	PUERTO VARAS.	Hombre	REGIONES	AP
giNoxx3cGwGt	7	Buen servicio / calidad servicio,No ha tenido problemas,Disponibilidad del ejecutivo	GGEE	CONSTRUCCION INGENIERIA.	LA ARAUCANIA.	Hombre	REGIONES	AP
OBiUSWFCUrsP	7	Buena cobertura	MEDIANA	ALIMENTACION	SAN PEDRO DE ATACAMA	Hombre	REGIONES	MV
FgkCz5v6VW2R	7	No ha tenido problemas	GGEE	SERVICIOS FORESTALES.	ANGOL	Hombre	REGIONES	Mas
WOV1SATxOUmQ	6	Mal servicio / calidad servicio,Mala cobertura	PEQUEÑA	INGENIERIA EN CONSTRUCCION	PUERTO MONTT	Hombre	NS/NR	Mas
qZNF9uFxy1nU	6	Disponibilidad del ejecutivo,Buen servicio telefonico,Buen servicio internet	MICRO	SERVICIOS MEDICOS	PUERTO MONTT	Hombre	REGIONES	Mas
NoPAKtuIiXVH	5	Mala atencion con ejecutivos,Planes de mala calidad	MEDIANA	VENTAS DE ALIMENTOS Y TRANSPORTES	OSORNO	Hombre	REGIONES	MP
p5uZIUfylEyE	6	Buena atencion,Buena cobertura,Solucionan requerimientos	MICRO	RADIO DIFUCION	NUEVA IMPERIAL	Mujer	REGIONES	Mas
EE7tTrRb5umE	6	Buena señal	MICRO	MEDICA	VITACURA	Hombre	SANTIAGO	Mas
ouXihZfFGq5J	7	No ha tenido problemas,Rápida solución de problemas	MICRO	TRANSPORTE	SANTIAGO CENTRO	Mujer	SANTIAGO	Mas
K7HVJFn8mKuw	6	Buen servicio / calidad servicio,Buena señal	PEQUEÑA	OBRAS DE INGENIERIAS	SANTIAGO , LA FLORIDA	Hombre	SANTIAGO	Mas
KclJzlHCbJp6	7	Buen servicio / calidad servicio,Solucionan requerimientos	MICRO	SERVICIOS JURIDICOS	LAS CONDES	Hombre	SANTIAGO	Mas
RRHtmcgeGZZA	7	Buen servicio / calidad servicio,Buen servicio internet	MEDIANA	INVERSIONES	LAS CONDES	Hombre	SANTIAGO	MP
eaSvQINsdanp	5	Caro,Malas conexiones /conectividad	PEQUEÑA	ACESORIAS	SANTIAGO CENTRO	Hombre	SANTIAGO	Mas
M9NKyXb6nnwB	4	Mal servicio / calidad servicio	MEDIANA	transporte pasajeros / turismo	graneros/rancagua	Hombre	REGIONES	MP
PnOOnvzvKkiy	6	Siempre se puede mejorar	GGEE	ENERGIA	LAS CONDES	Hombre	SANTIAGO	AV
zCMEzdAgfTqD	6	No ha tenido problemas	MEDIANA	VENTA DE ROPA CORPORATIVA.	RECOLETA	Hombre	SANTIAGO	Mas
13bIO2nvc09d	5	Problemas con equipos / calidad /reposición /cambio	MEDIANA	SERVICIOS TECNOLOGICOS	PUERTO MONTT, SANTIAGO	Hombre	SANTIAGO	MV
tqNQYj4gNcRN	5	Caro,Mala cobertura	PEQUEÑA	MAESTRANZA	LOA ANGELES	Mujer	REGIONES	Mas
tZ8uGLd3Qq8S	6	Caro	MICRO	RECICLAJE	PUNTA ARENAS	Mujer	REGIONES	Mas
iAhfXD8TDJeH	4	Mal servicio / calidad servicio,Mala atencion con ejecutivos,No solucionan problemas	GGEE	abastesimiento de abarrotes	temuco	Mujer	REGIONES	AV
v5O1VcBNKjNF	6	No ha tenido problemas,Buen servicio / calidad servicio	MICRO	AGRÍCOLA	REGIÓN DE ÑUBLE	Mujer	REGIONES	Mas
BZXk3fAeuTZk	6	Mala atencion con ejecutivos	MEDIANA	INVERSIONES	SANTIAGO VITACURA	Hombre	SANTIAGO	Mas
IN3lqJ6887wt	7	Disponibilidad del ejecutivo,Buena atención telefónica	GGEE	turismo	Las Condes	Hombre	SANTIAGO	MP
0pq1u5ifeYtC	6	Mal servicio internet / señal	MICRO	RESTAURAN	SAN JAVIER	Hombre	REGIONES	Mas
PNAvhOLGyeKu	7	Rápida solución de problemas,Buen servicio / calidad servicio	MEDIANA	LABORATORIO CLINICO, SALUD	VALDIVIA	Mujer	REGIONES	MP
fx2Un7cKWjpr	6	Buen servicio / calidad servicio	GGEE	COMPRA Y VENTA INSUMOS AGRICOLAS	LA REINA	Hombre	SANTIAGO	AV
avdq144uHQH7	6	Buen servicio / calidad servicio	PEQUEÑA	SERVICIO A LA MINERIA	ANTOFAGASTA	Hombre	SANTIAGO	MP
UebPPidQjwyW	5	Caro	PEQUEÑA	VENTAS DE REPUESTOS MINEROS	SANTIAGO	Hombre	SANTIAGO	Mas
k1HVu3hDZx2a	3	Mal servicio internet / señal	PEQUEÑA	TURISMO	SAN PEDRO DE ATACAMA	Mujer	REGIONES	MP
vkaMd7RVxLre	3	Mala cobertura,Mal servicio / calidad servicio	MEDIANA	trasnporet y comercializadora	padre hurtado / santiago	Hombre	SANTIAGO	Mas
GdznBcbH1XBR	7	Buena señal,Buen servicio / calidad servicio	PEQUEÑA	TEELCOMUNICACIONES	PUENTE ALTO	Hombre	SANTIAGO	Mas
eDX2ENIa8fJ8	6	No Sabe/ No responde	PEQUEÑA	servicios forestales	los angeles7 octava region	Hombre	REGIONES	Mas
mgmSVpI9y2Zr	6	Mala señal	MEDIANA	DESARROLLO DE INGENIERIA	CHILLAN VIEJO	Mujer	REGIONES	AP
6UC5DHUCFqWz	6	No ha tenido problemas	MICRO	CONSULTORÍA	ÑUÑOA	Hombre	SANTIAGO	Mas
ysJ28lxvJ0nn	6	Buen servicio / calidad servicio	MICRO	DISEÑO GRAFICO/PUBLICIDAD	CONCEPCIÓN	Hombre	REGIONES	Mas
QixGLVuT4JnK	7	Buen servicio / calidad servicio,Buenos planes,Buen servicio internet,Buena señal	PEQUEÑA	DE SEGURIDAD	PUENTE ALTO SANTIAGO	Mujer	SANTIAGO	MP
BhSLpMzeEmBF	6	Buen servicio / calidad servicio	PEQUEÑA	ASEO INDUSTRIAL	VALPARAISO	Hombre	REGIONES	Mas
VYoDIkJFhKh8	5	Mal servicio / calidad servicio	MICRO	peluquería, salón de belleza	las condes, santiago	Hombre	SANTIAGO	Mas
lyfzR4XiLqqj	6	Mala cobertura	MEDIANA	SERVICIOS	METROPOLITANA	Mujer	SANTIAGO	Mas
1Zm0AnYoOdib	6	Lentas respuestas a solución de problemas	MICRO	SERVICIO MEDICOS	ANTOFAGASTA SEGUNDA REGION DE CHILE	Hombre	REGIONES	Mas
Triz1PME01K2	7	No ha tenido problemas,Buena cobertura,Rápida solución de problemas	MICRO	EDUCACION	MACUL	Mujer	SANTIAGO	Mas
hrGEuJvx2cGv	5	Mala atencion con ejecutivos,Buena cobertura	MEDIANA	IMPORTADORES Y EXPORTADORES DE MARCAS EXTRANJERAS	PUERTO MONTT	Hombre	REGIONES	Mas
VydlYl38AGP5	6	No ha tenido problemas	MICRO	ASESORÍA EN EDUCACIÓN SUPERIOR	ANTOFAGASTA	Hombre	REGIONES	Mas
nfnh0GpaMj8y	5	Malas conexiones /conectividad	PEQUEÑA	administración de empresas	Coyhaique	Mujer	REGIONES	Mas
NWak7wRHhP2d	6	Mal servicio internet / señal	MICRO	AGRICOLA	QUILLOTA	Hombre	REGIONES	Mas
PDpFwl8NwdWV	7	Disponibilidad del ejecutivo	GGEE	construccion	las condes	Hombre	SANTIAGO	AP
FoiETU9EQN07	6	Mala señal	MICRO	ASESORIA A EMPRESAS. SERVICIOS FINANCIEROS	VIÑA DEL MAR	Hombre	REGIONES	Mas
lu4tPjbyTIkz	6	Mal servicio / calidad servicio	MICRO	AREA DE TURISMO	VALPARAISO	Hombre	REGIONES	Mas
Y7ypQggG0YH6	7	Buena cobertura,Buena señal	MEDIANA	PRODUCTOS DE LABORATORIO	CONCEPCION	Mujer	REGIONES	MV
dO1WOqvqkA4b	4	Caro	MICRO	EXTRACCIÓN Y PRODUCCION DE ALGAS	PUERTO MONTT	Hombre	REGIONES	Mas
YhdAMM16AtwQ	6	Caro	MICRO	Informatica	las condes	Mujer	SANTIAGO	Mas
KkY2UIZraCCF	4	Mal servicio / calidad servicio,Mala cobertura	MEDIANA	SERVICIOS FORESTALES	CHILLAN	Hombre	REGIONES	MP
ZvbY4IEUILwh	6	Buen servicio / calidad servicio,Buena cobertura	PEQUEÑA	ARQUITECTURA Y CONSTRUCCION	LAS CONDES	Hombre	SANTIAGO	Mas
yjiHwoQ1fk39	5	Buen servicio / calidad servicio,Buena cobertura	PEQUEÑA	ASESORIAS FINANCIERAS	VITACURA	Mujer	SANTIAGO	Mas
FyxRs8g8r5PQ	5	Problemas con equipos / calidad /reposición /cambio	MICRO	ESPECTACULOS	MAIPU	Mujer	SANTIAGO	Mas
rwVRNlvKixS5	6	Mala cobertura	PEQUEÑA	TRANSPORTE	TALCAHUANO	Hombre	REGIONES	Mas
SsmRg2RSXAzg	6	Buen servicio / calidad servicio	PEQUEÑA	MEDICINA Y PSICOPEDAGOGIA	LAS CONDES	Mujer	SANTIAGO	Mas
0OJw9f9XHZC6	4	Mal servicio / calidad servicio	MICRO	SERVICIO CONSTRUCTORA AGRÍCOLA Y FORESTAL	SAN JAVIER	Hombre	REGIONES	Mas
w8RBcLl44Fq6	7	No Sabe/ No responde	PEQUEÑA	Productora	Las Condes	Mujer	SANTIAGO	Mas
6pEK122XrVjf	5	Mal servicio internet / señal	MEDIANA	OBRAS CIVILES	ANTAFAGASTA	Mujer	REGIONES	MV
zODWyTXvkg6A	6	Mala atencion con ejecutivos	GGEE	INGENIERIA.	LOS ANDES.	Hombre	REGIONES	AP
4TCaPEaocWVh	1	No solucionan problemas	PEQUEÑA	Articulos deportivos	Santiago	Hombre	SANTIAGO	Mas
4nlVkUr7ZS6A	6	Buena cobertura,Buen servicio / calidad servicio,Cambios de planes arbitrarios	MICRO	CONSULTORIA	COYAHIQUE	Hombre	REGIONES	Mas
mit38OlQ9rF4	4	Caro	PEQUEÑA	SALUD	VILLA RICA	Hombre	REGIONES	Mas
BGs8JS4idVwr	6	Mala atencion con ejecutivos	GGEE	RETAIL.	VITAVURA	Hombre	SANTIAGO	AV
AtjI1Rx76r8O	7	No ha tenido problemas,Buena cobertura,Buen servicio / calidad servicio	GGEE	SEGURIDAD PRIVADA Y ADMINISTRACION DE SERVICIOS COMERCIALES	PROVIDENCIA	Hombre	SANTIAGO	AP
HO7Agki61wWt	6	Mala señal,Demora atención telefónica	PEQUEÑA	CONTRUCCION	LA CISTERNA	Hombre	SANTIAGO	Mas
OOIafdkdCQB3	6	Mala cobertura,Mala señal	PEQUEÑA	COMUNICACIONES	LA FLORIDA	Hombre	SANTIAGO	Mas
jLaRxkX2Wmjg	6	Siempre se puede mejorar	MICRO	VENTA DE BICICLETAS	PROVIDENCIA	Hombre	SANTIAGO	Mas
0OdSLlD7kcA8	7	Buena conexión / conectividad,No ha tenido problemas,Buena atencion,Cobros claros	PEQUEÑA	Fabricación de partes y piezas	Región de Arica y Parinacota, comuna Arica	Hombre	REGIONES	Mas
8sFOeoZKyY1k	6	Buenos precios / precios adecuados	MEDIANA	TRANSPORTE	CHILLAN VIEJO	Hombre	REGIONES	MasPrem
QIDahz0duhLu	5	Mala cobertura	MEDIANA	VENTAS DE MONITOREO AMBIENTAL	SANTIAGO	Hombre	SANTIAGO	Mas
RliyZlzooLFA	4	Lentas respuestas a solución de problemas	MEDIANA	consultoría	providencia	Hombre	SANTIAGO	MP
8E6yviGQPxhx	6	Buen servicio / calidad servicio,Solucionan requerimientos	MICRO	consultoria	valparaiso	Mujer	REGIONES	Mas
FXr7QVXJUmZ7	6	Mala señal	MICRO	AGRICOLA	CASA BLANCA	Hombre	REGIONES	MV
nc0Q8K4XskPQ	5	Mala cobertura	GGEE	constructora	talca	Hombre	REGIONES	AV
HChe5XxryQYB	5	Cambios de planes arbitrarios,Mal servicio internet / señal	MEDIANA	MUEBLES	PUERTO VARAS	Mujer	REGIONES	MP
9GGn0VeVXbEa	7	Buen servicio / calidad servicio	PEQUEÑA	servicios técnico domiciliario	macul	Hombre	SANTIAGO	Mas
gonQIL3pVztJ	7	Buena atencion,Buena cobertura	PEQUEÑA	AGRICOLA	CURICO	Hombre	REGIONES	Mas
3LHbZBI6LxXk	5	Mala cobertura	PEQUEÑA	MAQUINARIA	REGION DE LOS RIOS COMUNA PAYACO	Mujer	REGIONES	MasPrem
LmQAuojEIM4W	7	Disponibilidad del ejecutivo,Buena atencion	GGEE	AGRICOLA	CHILLAN	Mujer	REGIONES	AP
vvDy6Nk3Bwgs	5	Caro	MICRO	COMPRA Y VENTA DE MAQUINARIA	TALCA	Mujer	REGIONES	Mas
YSFuTrKv8AX0	7	Buen servicio / calidad servicio	PEQUEÑA	CONSULTORIA Y SERVICIOS	PROVIDENCIA	Hombre	SANTIAGO	Mas
3B7gTBwkhAgu	5	Problema facturación	MICRO	servicios	las condes	Hombre	SANTIAGO	Mas
WIk2y7fb1SVj	7	Buena señal,No ha tenido problemas	MICRO	CONSTRUCCIÓN	TALCA	Hombre	REGIONES	Mas
rnyeM0g62KxA	5	No solucionan problemas	MICRO	COBRANZA Y DOCUMENTACION ,TRAMITACION DE REGISTRO CIVIL	PIRQUE	Hombre	SANTIAGO	Mas
Q9zNua5IYM4Y	6	No ha tenido problemas	MICRO	consultoria	vitacura	Hombre	SANTIAGO	Mas
l8WzHZHSVqJx	5	No solucionan problemas	MICRO	CASA DE REPOSO	LAS CONDES	Mujer	SANTIAGO	Mas
yMEZdejnNfUD	6	Mala señal	MEDIANA	ILUMINACIÓN	NUÑOA	Hombre	SANTIAGO	Mas
pRG0Jk9U5ryX	6	Mal servicio internet / señal	MICRO	ASESORIA	PROVIDENCIA ,SANTIAGO	Hombre	SANTIAGO	Mas
AcfMNDHEeIyi	6	No ha tenido problemas,Rápida solución de problemas	PEQUEÑA	CORTINAS METALICAS	QUINTA NORMAL	Hombre	SANTIAGO	Mas
eQ4YExDVpO8H	6	Buen servicio / calidad servicio	MEDIANA	TRATAMIENTO DE VEHICULOS	SANTIAGO	Mujer	SANTIAGO	MP
znHHZA6jTbAc	6	Caro,Buen servicio / calidad servicio	MEDIANA	INSTALACIONES	SAN MIGUEL	Hombre	SANTIAGO	MV
tDxhy18pgwv4	7	Buen servicio / calidad servicio,Buena señal	MICRO	SERVICIOS MEDICOS	LAS CONDES	Hombre	SANTIAGO	Mas
1zfMNHYy6vME	5	Mala atención	MEDIANA	INSTALACIONES EN TERRENO DE TV CABLE	SANTIAGO Y PUERTO VARA	Mujer	SANTIAGO	MV
zKzem8x2Gwlh	7	No ha tenido problemas	MICRO	asesoria de micro finansas	la reina	Mujer	SANTIAGO	Mas
hF9NkpXCLWLr	6	Buen servicio / calidad servicio,Buena señal	MEDIANA	INGENIERÍA Y SERVICIO	ANTOFAGASTA	Mujer	REGIONES	AP
mV4FCx7FOQZu	7	Buen servicio / calidad servicio	MEDIANA	CONSTRUCCION	HUALPEN	Hombre	REGIONES	AP
Da8TPBPNrlXd	7	Buen servicio / calidad servicio,Facturación	PEQUEÑA	COMERCIAL AUTOMOTRIZ	quilicura	Hombre	SANTIAGO	Mas
qH8Qal0JxxWJ	6	Buen servicio / calidad servicio	MICRO	insumos quimicos	Santiago	Mujer	SANTIAGO	Mas
CZ48GcFGGRzZ	6	Buena conexión / conectividad,Mal servicio postventa	GGEE	COMERCIALIZA DORA DE PRODUCTOS	CERRILO SANTIAGO	Hombre	SANTIAGO	Mas
26a74HaY7zAb	7	Buen servicio / calidad servicio	MICRO	editorial	san bernardo	Mujer	SANTIAGO	Mas
5uZDOIHfo25B	5	Mal servicio internet / señal	MICRO	Construccion	San Pedro de la Paz Octava Region	Hombre	REGIONES	Mas
vHkW4bbsJuMt	6	Buen servicio / calidad servicio	MICRO	servicio dentales	Concepcion	Hombre	REGIONES	Mas
mDMMzfKLmPOR	7	Buena atencion,Atención personalizada,Buen servicio / calidad servicio	GGEE	importadores de acero	santiago , vitacura	Mujer	SANTIAGO	Mas
9jfeSziQKbt5	5	No solucionan problemas,Mal servicio / calidad servicio	MICRO	TRANSPORTE Y MOVIMIENTO DE TIERRA.	CURICÓ.	Hombre	REGIONES	Mas
RG32Lx772Iem	4	Caro,Cobros poco claros	MICRO	Cafeteria	Santiago centro	Mujer	SANTIAGO	Mas
XSZ7LNPjp3fe	7	Buena atencion	PEQUEÑA	CAPASITACION	ANTOFAGASTA	Mujer	REGIONES	MV
3KZAKcgzwdoz	7	Buen servicio / calidad servicio	PEQUEÑA	PANADERIA	CALERA DE TANGO	Hombre	SANTIAGO	Mas
zhktPxjNHynq	7	Disponibilidad del ejecutivo,Solucionan requerimientos	MICRO	REPARACIONES DE INSTRUMENTOS MUSICALES	SANTIAGO CENTRO	Mujer	SANTIAGO	Mas
TdlW7MFkRIdd	7	No ha tenido problemas,Buena atencion	MEDIANA	TRANSPORTE DE MAQUINARIAS  POR CARRETERA	CALAMA	Mujer	REGIONES	MasPrem
F70Fobl7Fgfr	6	Mala atencion con ejecutivos	MEDIANA	SERVICIO JURIDICO	LAS CONDES	Mujer	SANTIAGO	MP
LXVOZKKZJkYj	7	Buena atencion,Buen servicio / calidad servicio	GGEE	VENTA DE PRODUCTOS PARA CONSTRUCCION	LAMPA	Hombre	SANTIAGO	AP
HSMLHqQ86atS	7	Buen servicio telefonico	PEQUEÑA	transporte	san miguel	Hombre	SANTIAGO	MV
F3OEcKvElz1p	6	Buen servicio / calidad servicio,Buena atencion	PEQUEÑA	GASTRONOMICO	VALPARAISO	Mujer	REGIONES	MP
5z5QN8sn4AhE	7	Buena cobertura	PEQUEÑA	Giro medico	Las condes	Hombre	SANTIAGO	Mas
GFxD8T73ZkFw	6	Problemas con equipos / calidad /reposición /cambio	MEDIANA	DISTRIBUCION DE ALIMENTOS.	QUILPUE.	Mujer	REGIONES	Mas
PxarM4S3XHEE	7	Rapida atencion ejecutivo,Buena cobertura	PEQUEÑA	SEGURIDAD PRIVADA	COQUIMBO	Hombre	REGIONES	AP
NNp1Lf26nY17	6	Solucionan requerimientos,Rápidas respuestas	PEQUEÑA	COMPRA VENTA FRUTAS Y VERDURAS AL POR MAYOR FRIGORÍFICOS	OHIGGINS COMUNA RANCAGUA	Hombre	REGIONES	MV
e4sBDghO14mt	5	Mala señal	PEQUEÑA	Dos empresas-Frutícola ,Movimiento de Tierra	Curicó	Hombre	REGIONES	Mas
LpMhqeTzGfZ2	6	Mala atencion con ejecutivos	GGEE	IMPORTACION EXPORTACION DE MAQUINARIA DE PROCESAMIENTO AGRICOLA	CHILLAN	Hombre	REGIONES	AV
v1gNOQeBdy11	5	Caro,Demora atención telefónica	MEDIANA	TRANSPORTE	SANTIAGO , QUINTA NORMAL	Hombre	SANTIAGO	Mas
AYnxnctfii6e	5	Buena cobertura	GGEE	INMOVILIARIA , EXPORTACION , AGRICOLA	SANTIAGO	Hombre	SANTIAGO	Mas
DtJe75zFeTY1	7	No Sabe/ No responde	PEQUEÑA	SERVICIO TECNICO LINEA BLANCA Y ELECTRODOMESTICO	NUNOOS	Mujer	SANTIAGO	Mas
3BStqxQT67YC	6	Demora atención telefónica	GGEE	constructora	LAS CONDES	Hombre	SANTIAGO	AP
jsMX2gzSV8m4	5	Lentas respuestas a solución de problemas	PEQUEÑA	MECANICA	ANTOFAGAS	Mujer	REGIONES	Mas
dCwkshdREiXQ	4	Mala señal,Mal servicio internet / señal	PEQUEÑA	eventos deportivos	la florida	Mujer	SANTIAGO	Mas
nrjVrIQgOMrp	5	Mal servicio / calidad servicio,Problemas con equipos / calidad /reposición /cambio	PEQUEÑA	TRANSPORTE DE CARGA POR CARRETERA	SANTA CRUZ	Mujer	REGIONES	Mas
P9zrcaszkmED	5	Mala señal,Mal servicio internet / señal,Malas señal telefónica	PEQUEÑA	AUTOMOTRIZ.	PEDRO AGUIRRE CERDA.	Mujer	SANTIAGO	Mas
Q7ljjXBXXQhz	5	Mala señal	PEQUEÑA	CONSTRUCCION DE OBRAS MENORES	PAINE	Hombre	REGIONES	Mas
7ZrtUSpWpSh8	3	Mala señal,Demora atención telefónica	PEQUEÑA	arquitectura y construccion	quillota	Hombre	REGIONES	Mas
4tx758mYklLK	7	Buen servicio / calidad servicio	PEQUEÑA	FINANZAS	SAN MIGUEL	Mujer	SANTIAGO	MV
JlyLBN1RjY6c	7	Buen servicio / calidad servicio,Buena cobertura	MICRO	TRANSPORTE	QUILICURA	Hombre	SANTIAGO	Mas
eC8fGSVbm6ZX	3	Mal servicio / calidad servicio	PEQUEÑA	comercializar	santiago	Mujer	SANTIAGO	Mas
hdeCw11y4iFW	5	Demora atención telefónica	MICRO	TRANSPORTES	SAN BERNARDO	Hombre	SANTIAGO	Mas
ECHiP1MvaQMm	4	Mala cobertura,Caro	MICRO	SERVICIOS MEDICOS Y ODONTOLOGICOS.	CONCEPCION	Mujer	SANTIAGO	Mas
6bMOaryE1AJr	5	Mala cobertura	GGEE	CONSTRUCCION	SANTIAGO	Mujer	SANTIAGO	AV
rRMlKmz3mYOE	7	No ha tenido problemas	GGEE	ventas de repuestos de vehículo	iquique , zofri	Mujer	REGIONES	MP
lrSjNTk2Y95e	6	Mala atencion con ejecutivos	PEQUEÑA	INFORMATICA	SANTIAGO CENTRO	Hombre	SANTIAGO	Mas
xgIr24TJ4J9G	6	Demora atención telefónica	MICRO	SERVICIOS LEGALES.	LA SERENA.	Hombre	REGIONES	Mas
WaowwIbuJzZW	7	No ha tenido problemas	PEQUEÑA	AGRICOLA	RIO BUENO	Hombre	REGIONES	Mas
lc10EbOnrwS4	6	Buen servicio / calidad servicio,Buena cobertura	PEQUEÑA	INGENIERÍA DE SERVICIO DE MINERÍA INDUSTRIAL	ANTOFAGASTA	Hombre	SANTIAGO	Mas
L7vWcmuiHRmJ	3	Mal servicio internet / señal,Mala cobertura	MICRO	BANQUETERIA SON LOS COFFE BREAK EN LAS UNIVERSIDADES BAUTIZOS CUMPLEANOS	CERRO NAVIA SANTIAGO /  CURARAUTIN LA ARAUCANIA	Hombre	REGIONES	Mas
HDoefXZ4vfRh	5	No solucionan problemas	MICRO	GRABADOS, REGALOS CORPOTATIVOS	SANTIAGO CENTRO	Mujer	SANTIAGO	Mas
ArvkZSaG6gD7	7	Buen servicio / calidad servicio	MEDIANA	INGENIERIA ELCTRICA	SAN JOAQUIN	Mujer	SANTIAGO	MP
