encriptado	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	SEG_CORFO	Rubro	Ciudad_comuna	sex_enc	Regionx	SEG_GOL
pvZdhSWpzGsD	7	No ha tenido problemas,Rápida solución de problemas,Buenos precios / precios adecuados	PEQUEÑA	OPTICA	CONCEPCION	Hombre	REGIONES	Mas
R0dQYYlDhPML	6	Caro	PEQUEÑA	DISTRIVUIDORA DE FRUTAS Y VERDURAS	CONCEPCION	Mujer	REGIONES	Mas
NNqbdc65MeyM	7	No Sabe/ No responde	PEQUEÑA	construccion	los angeles	Hombre	REGIONES	Mas
eFA0etGYT7gD	5	No solucionan problemas	MICRO	SERVICIOS DE SOCIAL.	TALCA	Mujer	REGIONES	Mas
EuEoZIT7S0xa	7	No ha tenido problemas	MICRO	INSTALACION DE CERAMICA	SANTIAGO	Hombre	SANTIAGO	Mas
14lXEGYZtNt2	4	Mal servicio / calidad servicio	MICRO	VENTAS DE ROPA, JUGUETES Y EQUIPOS ELECTRONICOS	IQUIQUE, PASAJE SANTA CRUZ SITIO 37 MANZANA D GALPON 2	Hombre	REGIONES	Mas
izWjoGLdjWk3	7	Buena cobertura,Buenos precios / precios adecuados,Buen servicio / calidad servicio	PEQUEÑA	PRESTACION DE SERVICIOS NO ESPECIFICAS	RANCAGUA	Hombre	REGIONES	Mas
lxUWdqVdsHyx	5	Mala señal,Problema facturación	PEQUEÑA	CONSTRUCCION	los Angeles 8 region	Hombre	REGIONES	Mas
ektKSrqIDMB6	5	Mala señal	MICRO	PERSONAL	FUTRONO	Mujer	REGIONES	Mas
YupVjrOrV3a6	6	Mala señal	MICRO	ELECTRICIDAD INDUSTRIAL	PUENTE ALTO	Hombre	SANTIAGO	Mas
HGXlEnWgp6VD	5	Mal servicio / calidad servicio	PEQUEÑA	TRANSPORTE DE CARGA.	EL BOSQUE	Hombre	SANTIAGO	Mas
